Store,DayOfWeek,Month,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,CompetitionDistance,Promo2
715,4,7,7162,748,1,1,0,0,14810.0,0
375,1,8,6966,676,1,0,0,1,15710.0,1
896,6,11,11221,1595,1,0,0,0,170.0,0
1076,2,6,2700,451,1,0,0,0,90.0,1
269,2,7,12499,1590,1,1,0,1,60.0,0
31,6,3,5961,594,1,0,0,0,9800.0,0
498,3,3,7043,857,1,1,0,0,990.0,1
337,2,11,5191,383,1,1,0,0,10600.0,1
155,3,10,5400,559,1,0,0,1,3050.0,1
741,6,7,6540,825,1,0,0,0,11900.0,0
484,6,7,8791,782,1,0,0,0,14300.0,0
794,5,4,3623,560,1,1,0,0,5090.0,0
303,2,6,7953,834,1,1,0,0,15430.0,1
565,2,4,8017,877,1,1,0,0,160.0,0
604,1,1,6323,522,1,0,0,0,10950.0,0
274,4,3,3515,948,1,0,0,0,3640.0,1
66,5,5,6964,632,1,1,0,0,7660.0,1
220,2,9,5445,604,1,0,0,1,1000.0,0
391,2,6,4600,661,1,0,0,0,460.0,1
729,4,11,9765,1011,1,1,0,0,8980.0,0
758,6,4,4477,549,1,0,0,0,19780.0,0
285,1,1,5790,520,1,1,0,0,2410.0,0
227,7,6,0,0,0,0,0,0,2370.0,0
457,6,4,5626,557,1,0,0,0,13140.0,1
84,4,10,12697,1366,1,1,0,0,11810.0,0
923,3,3,6284,710,1,1,0,0,280.0,0
949,5,11,7228,559,1,1,0,0,870.0,0
695,3,6,4246,415,1,0,0,0,550.0,1
1038,7,4,0,0,0,0,0,0,17290.0,0
905,6,11,10249,1465,1,0,0,0,90.0,0
312,1,11,9172,744,1,1,0,0,11300.0,0
590,1,7,4585,394,1,0,0,0,4520.0,1
10,2,6,4739,588,1,0,0,0,3160.0,0
815,5,3,6835,660,1,1,0,0,590.0,1
89,1,3,8783,802,1,1,0,0,2380.0,1
125,4,7,9337,1308,1,0,0,1,760.0,0
41,7,11,0,0,0,0,0,0,1180.0,1
116,1,2,10469,961,1,1,0,0,680.0,0
185,2,4,7565,569,1,1,0,0,1860.0,0
788,6,12,17754,1502,1,0,0,0,1530.0,0
608,6,10,4839,474,1,0,0,0,18370.0,1
359,6,8,7044,642,1,0,0,0,4370.0,0
849,7,5,0,0,0,0,0,0,5000.0,0
700,3,11,5061,598,1,1,0,0,830.0,1
241,6,7,5831,667,1,0,0,0,780.0,0
696,2,12,14233,1573,1,0,0,1,430.0,0
584,3,1,4617,413,1,1,0,0,1360.0,1
870,2,11,7030,903,1,0,0,0,780.0,0
237,1,2,5174,598,1,0,0,0,1420.0,0
8,3,7,8523,895,1,1,0,0,7520.0,0
1061,7,11,0,0,0,0,0,0,8110.0,0
762,2,4,3225,330,1,1,0,0,1280.0,1
674,1,11,6611,955,1,0,0,0,2640.0,1
601,4,10,4133,343,1,0,0,1,8220.0,1
481,3,12,4601,471,1,0,0,0,7470.0,1
347,1,6,6118,436,1,1,0,0,9360.0,1
759,4,3,5078,602,1,0,0,0,110.0,1
995,1,4,0,0,0,0,2,1,6560.0,0
456,4,10,4265,702,1,0,0,0,140.0,0
761,7,4,0,0,0,0,0,0,2390.0,0
525,4,3,14466,1146,1,1,0,1,1870.0,0
556,7,4,0,0,0,0,0,0,1140.0,0
830,7,9,0,0,0,0,0,0,6320.0,1
929,4,2,5195,712,1,1,0,0,4820.0,0
287,1,5,8047,834,1,0,0,0,2740.0,1
362,3,7,9460,1036,1,1,0,1,340.0,0
56,3,10,5737,426,1,0,0,0,6620.0,1
720,3,5,7956,818,1,0,0,0,15320.0,1
834,2,8,4295,540,1,0,0,0,3470.0,0
538,4,6,3975,565,1,1,0,0,990.0,0
852,3,7,4916,558,1,1,0,1,940.0,1
80,3,7,8388,575,1,1,0,1,7910.0,0
150,6,8,9502,958,1,0,0,0,31830.0,0
70,4,6,6552,689,1,1,0,0,4840.0,0
586,6,7,16063,3248,1,0,0,0,250.0,0
852,1,9,3883,595,1,0,0,0,940.0,1
599,4,7,8310,759,1,0,0,0,580.0,0
386,4,6,6197,543,1,0,0,0,1460.0,1
478,5,7,6639,711,1,0,0,1,1940.0,0
351,7,4,0,0,0,0,0,0,5290.0,1
1059,1,10,6798,1102,1,0,0,0,3380.0,0
571,2,4,7472,563,1,1,0,0,2110.0,1
1058,2,2,5936,705,1,0,0,0,180.0,1
316,4,7,10450,905,1,1,0,1,9000.0,0
617,3,12,0,0,0,0,3,1,8940.0,1
506,7,2,0,0,0,0,0,0,1850.0,1
874,5,2,5462,590,1,1,0,0,3210.0,0
1110,5,8,7081,707,1,1,0,0,900.0,0
221,6,5,8405,783,1,0,0,0,13530.0,0
990,7,11,0,0,0,0,0,0,20930.0,0
688,5,1,3473,419,1,0,0,0,18760.0,1
375,2,6,7630,765,1,0,0,0,15710.0,1
797,3,9,2343,269,1,0,0,0,2090.0,1
617,4,3,5780,537,1,0,0,0,8940.0,1
268,4,6,5546,618,1,1,0,0,4520.0,0
643,3,2,8403,1016,1,1,0,0,230.0,1
212,2,4,5685,492,1,1,0,0,15050.0,0
931,7,10,1401,190,1,0,0,0,1480.0,1
1095,7,11,0,0,0,0,0,0,690.0,1
1052,3,9,7561,765,1,1,0,0,5080.0,1
700,7,3,0,0,0,0,0,0,830.0,1
642,7,8,0,0,0,0,0,0,530.0,1
349,6,1,7238,722,1,0,0,0,1490.0,0
105,1,1,2714,416,1,1,0,0,6190.0,1
956,2,9,5007,641,1,1,0,0,2330.0,1
563,1,11,8769,952,1,1,0,0,700.0,1
508,3,6,5512,501,1,1,0,0,1280.0,1
18,7,9,0,0,0,0,0,0,13840.0,1
156,7,8,0,0,0,0,0,0,2020.0,1
931,6,2,1598,214,1,0,0,0,1480.0,1
24,5,7,7930,744,1,0,0,1,4590.0,1
610,7,2,0,0,0,0,0,0,660.0,0
513,4,7,19770,2127,1,1,0,1,400.0,0
38,7,3,0,0,0,0,0,0,1090.0,0
127,6,7,4841,711,1,0,0,0,1350.0,1
81,7,4,0,0,0,0,0,0,2370.0,1
135,1,2,5043,486,1,0,0,0,5190.0,1
852,7,4,0,0,0,0,0,0,940.0,1
978,2,1,0,0,0,0,1,1,3890.0,0
229,3,3,6402,591,1,0,0,0,17410.0,1
941,4,7,3965,528,1,0,0,0,1200.0,1
609,6,11,2614,275,1,0,0,0,2070.0,0
786,5,1,4659,668,1,1,0,0,290.0,1
156,5,7,5223,613,1,0,0,1,2020.0,1
645,1,9,14191,1552,1,1,0,1,90.0,1
984,7,10,0,0,0,0,0,0,440.0,1
823,7,8,0,0,0,0,0,0,16210.0,0
452,3,11,5815,500,1,1,0,0,1850.0,1
932,7,3,0,0,0,0,0,0,15700.0,1
444,1,5,0,0,0,0,1,0,1700.0,0
314,5,6,4759,527,1,0,0,0,3560.0,1
427,1,1,10844,968,1,1,0,0,70.0,1
497,1,1,7929,1035,1,0,0,0,1610.0,0
537,2,7,6207,684,1,1,0,0,600.0,1
972,2,2,4186,415,1,1,0,0,14960.0,0
170,4,10,3559,453,1,0,0,1,1070.0,1
184,1,7,8140,658,1,1,0,1,3560.0,0
795,4,5,0,0,0,1,1,0,510.0,1
760,4,7,8119,1466,1,0,0,1,560.0,0
34,7,4,0,0,0,0,0,0,2240.0,0
661,4,7,8735,621,1,1,0,0,2140.0,0
237,1,1,5825,714,1,1,0,0,1420.0,0
784,2,8,6994,845,1,0,0,1,560.0,1
22,7,1,0,0,0,0,0,0,1040.0,1
80,1,7,8737,645,1,1,0,0,7910.0,0
27,2,2,7192,965,1,0,0,0,60.0,1
624,1,1,10784,898,1,1,0,1,6920.0,0
904,5,5,4329,403,1,0,0,1,570.0,1
917,5,5,6635,855,1,0,0,0,7240.0,0
1017,3,5,0,0,0,1,1,0,110.0,0
905,3,6,8882,1242,1,1,0,0,90.0,0
886,3,12,8961,735,1,1,0,0,12430.0,0
979,2,5,5722,661,1,0,0,0,2270.0,1
499,1,8,6603,826,1,1,0,1,450.0,1
851,7,1,0,0,0,0,0,0,2330.0,1
1099,3,2,6598,775,1,1,0,0,200.0,1
927,3,3,5133,770,1,0,0,0,480.0,0
931,4,2,4178,475,1,1,0,0,1480.0,1
669,1,3,5488,402,1,1,0,0,17080.0,1
786,1,7,6188,827,1,1,0,1,290.0,1
689,2,3,7253,744,1,1,0,0,15040.0,0
998,4,4,3830,475,1,0,0,0,780.0,1
581,4,10,4317,572,1,0,0,0,7250.0,0
89,5,3,5791,626,1,0,0,0,2380.0,1
1038,7,6,0,0,0,0,0,0,17290.0,0
947,5,5,7022,1009,1,0,0,0,460.0,1
817,1,3,22310,3307,1,0,0,0,140.0,0
416,7,4,0,0,0,0,0,0,4650.0,0
172,6,7,6559,769,1,0,0,0,110.0,1
408,7,5,0,0,0,0,0,0,1560.0,1
907,2,8,5127,776,1,0,0,1,250.0,0
398,4,7,4241,540,1,0,0,0,1540.0,1
665,2,5,9742,1449,1,1,0,0,90.0,1
645,6,12,8953,1269,1,0,0,0,90.0,1
382,2,4,6269,598,1,0,0,0,26130.0,0
145,5,5,7842,1077,1,0,0,1,280.0,1
786,5,1,3679,551,1,1,0,0,290.0,1
927,4,6,0,0,0,1,1,0,480.0,0
584,7,2,0,0,0,0,0,0,1360.0,1
439,1,11,10647,1139,1,1,0,0,1350.0,0
963,6,8,4037,390,1,0,0,0,23620.0,0
644,4,11,7108,826,1,0,0,0,4030.0,1
772,3,7,4805,556,1,1,0,0,1850.0,0
1087,3,7,5104,517,1,0,0,0,2210.0,0
340,4,1,5480,608,1,1,0,0,8080.0,0
82,4,3,8916,861,1,1,0,0,22390.0,1
1014,4,2,11852,1320,1,0,0,0,210.0,1
180,4,4,7675,871,1,1,0,0,5800.0,0
1036,5,2,4853,484,1,1,0,0,9560.0,1
90,2,2,8649,1007,1,1,0,0,330.0,0
771,1,7,8647,866,1,1,0,0,20640.0,0
136,1,2,3495,303,1,0,0,1,2200.0,1
701,3,9,3228,446,1,0,0,0,1450.0,1
448,2,2,11226,919,1,1,0,0,3970.0,0
179,5,8,8923,1111,1,1,0,1,480.0,0
730,5,8,7733,997,1,1,0,1,1190.0,0
684,4,10,5100,442,1,0,0,0,680.0,1
994,7,3,0,0,0,0,0,0,2290.0,1
793,2,10,3074,337,1,0,0,1,2710.0,0
558,4,2,3883,523,1,1,0,0,3000.0,0
397,6,3,4303,625,1,0,0,0,130.0,1
168,5,3,7306,737,1,1,0,0,12540.0,0
412,7,6,0,0,0,0,0,0,4460.0,1
860,4,4,4290,582,1,0,0,0,5980.0,0
209,6,1,3964,423,1,0,0,0,11680.0,1
628,5,2,4759,683,1,0,0,0,2180.0,0
191,2,2,7244,731,1,1,0,0,1100.0,1
816,1,3,4228,688,1,0,0,0,460.0,0
505,1,9,6924,689,1,1,0,1,350.0,1
282,7,4,0,0,0,0,0,0,1220.0,0
240,6,3,3696,337,1,0,0,0,1110.0,0
330,6,4,4440,450,1,0,0,0,370.0,1
446,2,5,6521,763,1,1,0,0,340.0,1
768,6,5,11349,1268,1,0,0,0,2630.0,0
340,3,3,5232,631,1,0,0,0,8080.0,0
76,2,5,7452,821,1,0,0,0,19960.0,0
343,7,4,0,0,0,0,0,0,18650.0,1
986,6,11,0,0,0,0,1,0,620.0,1
666,7,3,0,0,0,0,0,0,2700.0,1
741,2,9,9347,1035,1,1,0,1,11900.0,0
353,3,1,3225,1025,1,0,0,0,900.0,1
403,7,2,0,0,0,0,0,0,4970.0,0
396,6,5,5720,617,1,0,0,0,23130.0,0
485,4,2,3247,331,1,0,0,0,3270.0,1
3,4,10,7177,788,1,1,0,0,14130.0,1
1088,5,9,6003,551,1,1,0,0,4300.0,1
47,4,2,5656,894,1,0,0,0,270.0,1
471,7,6,0,0,0,0,0,0,5300.0,1
964,4,1,9859,1300,1,1,0,0,270.0,1
257,5,10,5990,724,1,0,0,1,420.0,0
721,5,6,9305,880,1,1,0,0,3590.0,1
166,5,9,3936,614,1,0,0,0,100.0,1
552,5,1,5769,581,1,0,0,0,4260.0,1
540,1,7,5870,411,1,0,0,0,810.0,1
571,3,4,6547,492,1,1,0,0,2110.0,1
410,6,5,6442,846,1,0,0,0,40.0,1
613,7,2,0,0,0,0,0,0,250.0,1
223,5,8,5859,759,1,0,0,1,2920.0,1
565,6,1,5095,700,1,0,0,0,160.0,0
868,4,1,8970,575,1,1,0,1,1360.0,1
224,5,8,5571,431,1,0,0,1,7930.0,1
537,1,7,4916,606,1,0,0,0,600.0,1
502,4,12,17630,2160,1,1,0,0,220.0,1
337,3,6,3398,280,1,0,0,0,10600.0,1
456,2,11,5261,802,1,0,0,0,140.0,0
169,7,6,0,0,0,0,0,0,980.0,1
987,5,1,7121,949,1,0,0,1,1690.0,0
411,7,12,0,0,0,0,0,1,8460.0,0
594,4,1,3751,416,1,1,0,0,1790.0,0
748,1,9,4314,397,1,0,0,0,2380.0,1
828,3,5,4874,547,1,1,0,1,3290.0,0
176,3,1,5655,612,1,1,0,0,3770.0,0
501,4,3,4638,550,1,0,0,0,1620.0,0
822,1,2,11146,850,1,1,0,0,410.0,1
169,2,3,8644,783,1,1,0,0,980.0,1
57,2,2,10899,969,1,1,0,0,420.0,0
121,3,3,5434,535,1,1,0,0,3570.0,1
664,6,9,3428,443,1,0,0,0,1680.0,0
398,1,8,6468,765,1,0,0,0,1540.0,1
65,7,8,0,0,0,0,0,0,13840.0,1
130,4,12,0,0,0,0,3,1,900.0,1
649,7,12,0,0,0,0,0,0,14570.0,0
150,6,6,7753,762,1,0,0,0,31830.0,0
190,1,7,10210,776,1,1,0,0,1470.0,1
755,1,1,12634,969,1,1,0,0,13130.0,0
321,3,2,3568,416,1,0,0,1,8140.0,1
315,5,7,5959,553,1,1,0,1,38710.0,0
736,5,1,5121,494,1,0,0,0,1650.0,1
683,4,4,9330,902,1,0,0,1,2850.0,0
685,1,3,10839,871,1,1,0,0,650.0,1
1039,3,10,7457,920,1,0,0,0,70.0,1
469,3,3,13034,1630,1,1,0,0,710.0,0
1052,5,11,7587,791,1,1,0,0,5080.0,1
378,6,3,7211,1063,1,0,0,0,2140.0,0
676,2,4,9270,2001,1,1,0,0,1410.0,0
396,4,1,11826,1342,1,1,0,0,23130.0,0
707,2,11,10966,1198,1,1,0,0,2900.0,0
293,5,5,6226,786,1,0,0,1,140.0,0
746,7,3,0,0,0,0,0,0,4330.0,1
819,3,11,4224,433,1,0,0,0,720.0,0
168,6,7,4473,446,1,0,0,0,12540.0,0
376,2,9,6283,796,1,0,0,0,160.0,0
287,4,3,10640,1031,1,1,0,1,2740.0,1
543,7,10,0,0,0,0,0,0,1080.0,0
426,2,5,5996,704,1,1,0,0,250.0,0
411,1,3,13254,912,1,1,0,0,8460.0,0
487,5,4,7655,795,1,1,0,0,2180.0,1
698,3,7,15871,1886,1,0,0,0,1790.0,0
84,4,1,10881,1175,1,1,0,0,11810.0,0
830,2,1,7179,609,1,1,0,0,6320.0,1
153,1,9,5827,588,1,0,0,0,16240.0,1
25,3,12,13358,1768,1,1,0,0,430.0,0
852,3,6,3823,512,1,0,0,0,940.0,1
232,4,2,3825,336,1,1,0,1,13570.0,1
477,6,11,6377,466,1,0,0,0,770.0,1
132,7,3,0,0,0,0,0,0,1040.0,1
168,4,2,6876,747,1,0,0,0,12540.0,0
1058,4,9,5264,589,1,0,0,0,180.0,1
566,7,4,0,0,0,0,0,0,3620.0,1
51,5,5,8414,567,1,1,0,0,10570.0,1
886,5,1,7184,665,1,1,0,0,12430.0,0
149,3,5,6014,473,1,1,0,0,2610.0,1
310,2,5,8992,786,1,1,0,0,2290.0,1
12,7,10,0,0,0,0,0,0,1070.0,1
1008,2,4,7085,835,1,1,0,1,30.0,0
16,3,6,9548,987,1,1,0,1,3270.0,0
486,1,6,0,0,0,0,1,0,2320.0,1
55,5,6,4799,586,1,0,0,0,720.0,0
324,1,4,10260,1173,1,1,0,0,13140.0,1
348,7,5,0,0,0,0,0,0,16490.0,1
276,7,3,0,0,0,0,0,0,2960.0,1
605,2,4,6336,477,1,0,0,1,10310.0,1
114,3,2,5670,585,1,1,0,1,4510.0,1
779,5,2,6930,751,1,0,0,1,16990.0,0
108,1,6,12793,980,1,1,0,0,2190.0,0
1075,2,5,12106,1106,1,1,0,0,1410.0,0
848,7,11,0,0,0,0,0,0,370.0,1
906,7,9,0,0,0,0,0,0,90.0,0
586,2,4,14415,2333,1,0,0,1,250.0,0
214,5,9,9289,740,1,1,0,0,8650.0,1
759,7,12,0,0,0,0,0,0,110.0,1
589,7,10,0,0,0,0,0,0,360.0,1
679,2,7,11139,1069,1,1,0,1,4140.0,0
984,3,8,6830,766,1,1,0,1,440.0,1
729,6,5,10205,1063,1,0,0,0,8980.0,0
706,3,4,8342,699,1,1,0,0,7830.0,1
964,2,7,6145,989,1,0,0,0,270.0,1
863,5,4,0,0,0,1,2,1,21370.0,0
1022,4,10,7528,840,1,1,0,0,1520.0,0
499,6,5,5906,850,1,0,0,0,450.0,1
597,6,12,3667,547,1,0,0,0,150.0,1
468,7,10,0,0,0,0,0,0,5260.0,0
1,7,1,0,0,0,0,0,0,1270.0,0
702,5,5,4086,346,1,0,0,1,8550.0,1
450,5,8,7443,941,1,0,0,1,5780.0,1
1014,1,6,11428,1366,1,0,0,0,210.0,1
1017,6,8,3883,667,1,0,0,0,110.0,0
472,7,12,0,0,0,0,0,0,5030.0,0
467,4,10,12782,1574,1,1,0,1,20390.0,0
923,5,9,5601,661,1,1,0,0,280.0,0
682,2,11,15216,2172,1,1,0,0,150.0,0
1063,5,7,2903,432,1,0,0,1,6250.0,0
456,4,2,5773,898,1,1,0,0,140.0,0
34,5,11,7441,1032,1,1,0,0,2240.0,0
317,4,1,4550,454,1,1,0,0,3140.0,1
1089,7,4,0,0,0,0,0,0,5220.0,0
108,2,7,10181,747,1,0,0,0,2190.0,0
472,7,3,0,0,0,0,0,0,5030.0,0
539,1,5,13622,1286,1,1,0,0,770.0,1
112,3,2,6942,813,1,1,0,0,1630.0,0
767,7,11,0,0,0,0,0,0,13080.0,0
483,3,12,4727,641,1,0,0,0,2310.0,1
62,2,7,8604,887,1,1,0,1,2050.0,0
283,7,2,0,0,0,0,0,0,2260.0,1
1046,3,5,8504,675,1,1,0,1,29070.0,0
604,6,6,7158,560,1,0,0,0,10950.0,0
912,7,1,0,0,0,0,0,0,3100.0,0
