Store,DayOfWeek,Sales,Open,Promo,StateHoliday,SchoolHoliday,Promo2,Month,Customers_binned,CompetitionDistance_binned
1084,2,7000,1,1,0,0,1,12,"(799,932]","(35,245]"
682,5,11309,1,0,0,0,0,10,"(1492,2006]","(35,245]"
363,4,10070,1,1,0,1,0,3,"(1136,1492]","(245,255]"
801,6,4068,1,0,0,0,0,6,"(195,427]","(27070,75860]"
705,3,9537,1,1,0,0,1,3,"(932,1136]","(255,11745]"
519,7,0,0,0,0,0,1,9,"(0,195]","(255,11745]"
432,6,6412,1,0,0,0,0,5,"(799,932]","(255,11745]"
440,6,3163,1,0,0,0,1,7,"(195,427]","(255,11745]"
715,7,0,0,0,0,0,0,7,"(0,195]","(13550,15155]"
455,2,6503,1,0,0,1,0,12,"(195,427]","(255,11745]"
846,2,9439,1,0,0,1,1,6,"(932,1136]","(255,11745]"
555,1,9587,1,1,0,0,1,12,"(672,799]","(255,11745]"
176,6,3566,1,0,0,0,0,3,"(427,534]","(255,11745]"
595,7,0,0,0,0,0,0,9,"(0,195]","(255,11745]"
744,1,10068,1,1,0,1,1,6,"(932,1136]","(255,11745]"
837,1,6112,1,1,0,0,0,6,"(672,799]","(13550,15155]"
39,4,0,0,0,1,0,1,5,"(0,195]","(255,11745]"
69,5,9311,1,1,0,0,1,5,"(1136,1492]","(255,11745]"
446,3,5679,1,1,0,0,1,11,"(672,799]","(255,11745]"
809,7,0,0,0,0,0,0,8,"(0,195]","(11825,13550]"
708,4,5748,1,1,0,0,1,1,"(427,534]","(255,11745]"
391,3,6725,1,1,0,0,1,12,"(672,799]","(255,11745]"
1080,2,10967,1,1,0,1,1,9,"(799,932]","(255,11745]"
445,5,7173,1,0,0,0,0,2,"(932,1136]","(35,245]"
921,5,0,0,1,2,1,0,4,"(0,195]","(255,11745]"
610,4,5327,1,1,0,0,0,4,"(672,799]","(255,11745]"
1100,2,6954,1,1,0,1,1,8,"(799,932]","(255,11745]"
112,1,6249,1,0,0,0,0,5,"(672,799]","(255,11745]"
777,1,3396,1,0,0,0,1,3,"(195,427]","(255,11745]"
821,2,8490,1,1,0,0,0,4,"(799,932]","(255,11745]"
537,4,6718,1,1,0,0,1,5,"(672,799]","(255,11745]"
1082,6,5004,1,0,0,0,0,4,"(799,932]","(255,11745]"
956,2,4231,1,1,0,1,1,7,"(534,672]","(255,11745]"
246,7,0,0,0,0,0,0,11,"(0,195]","(255,11745]"
795,7,0,0,0,0,0,1,7,"(0,195]","(255,11745]"
898,5,7739,1,1,0,0,0,6,"(799,932]","(15155,22370]"
100,4,8042,1,1,0,0,0,1,"(534,672]","(15155,22370]"
164,3,6014,1,1,0,0,1,11,"(534,672]","(255,11745]"
61,3,5601,1,1,0,0,1,7,"(534,672]","(255,11745]"
977,1,3931,1,0,0,0,1,6,"(427,534]","(255,11745]"
106,4,8547,1,1,0,1,0,8,"(672,799]","(255,11745]"
1062,6,5982,1,0,0,0,1,6,"(534,672]","(35,245]"
506,4,7194,1,1,0,0,1,3,"(799,932]","(255,11745]"
1008,7,0,0,0,0,0,0,9,"(0,195]","(20,35]"
922,2,0,0,0,0,0,0,4,"(0,195]","(255,11745]"
16,6,4832,1,0,0,0,0,2,"(534,672]","(255,11745]"
197,4,7723,1,1,0,0,0,5,"(799,932]","(255,11745]"
1089,1,14407,1,1,0,0,0,4,"(1136,1492]","(255,11745]"
959,6,3102,1,0,0,0,0,10,"(195,427]","(255,11745]"
593,5,8221,1,0,0,0,0,3,"(932,1136]","(27070,75860]"
1029,2,7852,1,1,0,0,0,9,"(932,1136]","(255,11745]"
764,6,1551,1,0,0,0,1,5,"(0,195]","(22370,27070]"
762,1,6417,1,1,0,0,1,2,"(534,672]","(255,11745]"
822,1,7492,1,0,0,1,1,8,"(534,672]","(255,11745]"
998,1,3765,1,0,0,1,1,10,"(427,534]","(255,11745]"
278,2,8055,1,1,0,1,0,7,"(799,932]","(255,11745]"
918,4,4655,1,0,0,0,0,6,"(534,672]","(15155,22370]"
884,6,4272,1,0,0,0,0,7,"(427,534]","(255,11745]"
842,7,0,0,0,0,0,0,6,"(0,195]","(255,11745]"
274,7,5776,1,0,0,0,1,10,"(1136,1492]","(255,11745]"
38,6,6155,1,0,0,0,0,2,"(534,672]","(255,11745]"
490,2,8723,1,1,0,0,1,5,"(932,1136]","(255,11745]"
227,6,4074,1,0,0,0,0,6,"(195,427]","(255,11745]"
590,1,4769,1,0,0,0,1,10,"(195,427]","(255,11745]"
1005,6,4943,1,0,0,0,0,7,"(799,932]","(255,11745]"
322,4,4302,1,0,0,0,1,9,"(534,672]","(15155,22370]"
656,3,3692,1,1,0,0,1,12,"(195,427]","(255,11745]"
697,7,0,0,0,0,0,1,4,"(0,195]","(255,11745]"
1005,1,7644,1,1,0,0,0,10,"(932,1136]","(255,11745]"
1108,3,6187,1,1,0,1,0,2,"(534,672]","(255,11745]"
909,5,11729,1,1,0,0,1,12,"(932,1136]","(255,11745]"
604,3,8000,1,1,0,0,0,2,"(534,672]","(255,11745]"
217,4,3849,1,0,0,0,0,11,"(534,672]","(255,11745]"
281,3,4431,1,0,0,0,0,1,"(427,534]","(255,11745]"
677,2,5573,1,0,0,0,1,6,"(427,534]","(255,11745]"
378,4,7424,1,1,0,0,0,5,"(932,1136]","(255,11745]"
540,5,4564,1,1,0,0,1,7,"(195,427]","(255,11745]"
335,6,7788,1,0,0,0,1,6,"(1492,2006]","(35,245]"
951,5,8881,1,1,0,0,1,9,"(672,799]","(255,11745]"
1036,3,5252,1,1,0,1,1,7,"(427,534]","(255,11745]"
860,6,6237,1,0,0,0,0,8,"(672,799]","(255,11745]"
734,6,2930,1,0,0,0,1,7,"(195,427]","(35,245]"
133,3,5220,1,0,0,0,1,6,"(534,672]","(255,11745]"
42,2,9237,1,0,0,0,1,5,"(932,1136]","(255,11745]"
574,7,0,0,0,0,0,0,2,"(0,195]","(255,11745]"
861,6,4491,1,0,0,0,1,12,"(672,799]","(255,11745]"
575,1,10765,1,1,0,1,1,2,"(672,799]","(255,11745]"
324,3,4435,1,0,0,0,1,10,"(534,672]","(11825,13550]"
216,6,5990,1,0,0,0,1,7,"(672,799]","(35,245]"
360,4,5736,1,0,0,0,0,11,"(672,799]","(255,11745]"
645,5,8726,1,1,0,0,1,7,"(932,1136]","(35,245]"
732,5,3861,1,1,0,0,0,1,"(427,534]","(27070,75860]"
913,4,6092,1,0,0,0,0,3,"(799,932]","(255,11745]"
263,6,4616,1,0,0,0,1,9,"(427,534]","(255,11745]"
527,7,0,0,0,0,0,0,7,"(0,195]","(255,11745]"
758,6,2635,1,0,0,0,0,10,"(195,427]","(15155,22370]"
821,1,12620,1,1,0,1,0,7,"(1136,1492]","(255,11745]"
28,4,5446,1,1,0,0,1,4,"(534,672]","(255,11745]"
390,7,0,0,0,0,0,0,7,"(0,195]","(255,11745]"
243,1,10144,1,1,0,0,1,5,"(1136,1492]","(255,11745]"
1068,7,0,0,0,0,0,1,6,"(0,195]","(255,11745]"
465,1,4414,1,0,0,0,0,1,"(195,427]","(255,11745]"
1063,2,3900,1,1,0,1,0,7,"(427,534]","(255,11745]"
151,2,5105,1,0,0,0,0,6,"(534,672]","(255,11745]"
965,7,0,0,0,0,0,0,2,"(0,195]","(35,245]"
809,2,15411,1,1,0,0,0,3,"(932,1136]","(11825,13550]"
488,1,2884,1,0,0,0,0,1,"(195,427]","(255,11745]"
614,3,5404,1,0,0,0,0,3,"(799,932]","(255,11745]"
1028,4,3159,1,0,0,0,1,9,"(195,427]","(35,245]"
790,2,11490,1,1,0,0,0,12,"(799,932]","(255,11745]"
401,7,0,0,0,0,0,1,3,"(0,195]","(255,11745]"
1005,5,5544,1,0,0,0,0,3,"(799,932]","(255,11745]"
695,6,2786,1,0,0,0,1,3,"(195,427]","(255,11745]"
135,7,0,0,0,0,0,1,3,"(0,195]","(255,11745]"
239,1,8485,1,1,0,0,0,9,"(672,799]","(255,11745]"
1078,5,7415,1,1,0,0,1,2,"(534,672]","(255,11745]"
483,6,1619,1,0,0,0,1,6,"(195,427]","(255,11745]"
289,5,5369,1,0,0,1,0,4,"(427,534]","(255,11745]"
363,6,6104,1,0,0,0,0,4,"(799,932]","(245,255]"
131,3,3357,1,0,0,0,0,3,"(195,427]","(255,11745]"
346,4,5858,1,1,0,0,0,6,"(534,672]","(255,11745]"
1115,1,7704,1,1,0,0,1,11,"(427,534]","(255,11745]"
840,1,10515,1,1,0,1,0,7,"(1136,1492]","(255,11745]"
846,1,6583,1,0,0,0,1,2,"(672,799]","(255,11745]"
234,5,12649,1,0,0,0,0,5,"(932,1136]","(255,11745]"
490,6,8525,1,0,0,0,1,6,"(1136,1492]","(255,11745]"
178,7,0,0,0,0,0,0,4,"(0,195]","(255,11745]"
811,4,4383,1,1,0,0,0,2,"(672,799]","(255,11745]"
702,3,5908,1,1,0,0,1,1,"(427,534]","(255,11745]"
826,2,7726,1,0,0,0,0,4,"(672,799]","(255,11745]"
713,6,9414,1,0,0,0,1,2,"(1136,1492]","(35,245]"
212,7,0,0,0,0,0,0,8,"(0,195]","(13550,15155]"
95,7,0,0,0,0,0,0,2,"(0,195]","(255,11745]"
726,3,12973,1,1,0,1,0,7,"(932,1136]","(27070,75860]"
886,2,4537,1,0,0,1,0,10,"(534,672]","(11825,13550]"
152,2,3912,1,0,0,1,0,8,"(427,534]","(255,11745]"
829,3,5947,1,1,0,0,0,10,"(672,799]","(35,245]"
357,1,5796,1,0,0,1,0,7,"(799,932]","(255,11745]"
819,3,4793,1,0,0,1,0,6,"(427,534]","(255,11745]"
743,5,3612,1,0,0,1,1,7,"(427,534]","(255,11745]"
80,7,0,0,0,0,0,0,3,"(0,195]","(255,11745]"
391,6,3011,1,0,0,0,1,5,"(195,427]","(255,11745]"
727,1,4287,1,0,0,0,0,2,"(427,534]","(255,11745]"
295,6,5445,1,0,0,0,1,7,"(672,799]","(35,245]"
1110,1,5545,1,1,0,0,0,11,"(534,672]","(255,11745]"
497,5,10178,1,1,0,0,0,11,"(1136,1492]","(255,11745]"
791,2,7137,1,1,0,0,0,4,"(672,799]","(255,11745]"
37,6,6725,1,0,0,0,0,8,"(799,932]","(255,11745]"
368,1,15685,1,1,0,0,1,5,"(932,1136]","(255,11745]"
715,4,7162,1,1,0,0,0,7,"(672,799]","(13550,15155]"
375,1,6966,1,0,0,1,1,8,"(672,799]","(15155,22370]"
896,6,11221,1,0,0,0,0,11,"(1492,2006]","(35,245]"
1076,2,2700,1,0,0,0,1,6,"(427,534]","(35,245]"
269,2,12499,1,1,0,1,0,7,"(1492,2006]","(35,245]"
31,6,5961,1,0,0,0,0,3,"(534,672]","(255,11745]"
498,3,7043,1,1,0,0,1,3,"(799,932]","(255,11745]"
337,2,5191,1,1,0,0,1,11,"(195,427]","(255,11745]"
155,3,5400,1,0,0,1,1,10,"(534,672]","(255,11745]"
741,6,6540,1,0,0,0,0,7,"(799,932]","(11825,13550]"
484,6,8791,1,0,0,0,0,7,"(672,799]","(13550,15155]"
794,5,3623,1,1,0,0,0,4,"(534,672]","(255,11745]"
303,2,7953,1,1,0,0,1,6,"(799,932]","(15155,22370]"
565,2,8017,1,1,0,0,0,4,"(799,932]","(35,245]"
604,1,6323,1,0,0,0,0,1,"(427,534]","(255,11745]"
274,4,3515,1,0,0,0,1,3,"(932,1136]","(255,11745]"
66,5,6964,1,1,0,0,1,5,"(534,672]","(255,11745]"
220,2,5445,1,0,0,1,0,9,"(534,672]","(255,11745]"
391,2,4600,1,0,0,0,1,6,"(534,672]","(255,11745]"
729,4,9765,1,1,0,0,0,11,"(932,1136]","(255,11745]"
758,6,4477,1,0,0,0,0,4,"(534,672]","(15155,22370]"
285,1,5790,1,1,0,0,0,1,"(427,534]","(255,11745]"
227,7,0,0,0,0,0,0,6,"(0,195]","(255,11745]"
457,6,5626,1,0,0,0,1,4,"(534,672]","(11825,13550]"
84,4,12697,1,1,0,0,0,10,"(1136,1492]","(11745,11825]"
923,3,6284,1,1,0,0,0,3,"(672,799]","(255,11745]"
949,5,7228,1,1,0,0,0,11,"(534,672]","(255,11745]"
695,3,4246,1,0,0,0,1,6,"(195,427]","(255,11745]"
1038,7,0,0,0,0,0,0,4,"(0,195]","(15155,22370]"
905,6,10249,1,0,0,0,0,11,"(1136,1492]","(35,245]"
312,1,9172,1,1,0,0,0,11,"(672,799]","(255,11745]"
590,1,4585,1,0,0,0,1,7,"(195,427]","(255,11745]"
10,2,4739,1,0,0,0,0,6,"(534,672]","(255,11745]"
815,5,6835,1,1,0,0,1,3,"(534,672]","(255,11745]"
89,1,8783,1,1,0,0,1,3,"(799,932]","(255,11745]"
125,4,9337,1,0,0,1,0,7,"(1136,1492]","(255,11745]"
41,7,0,0,0,0,0,1,11,"(0,195]","(255,11745]"
116,1,10469,1,1,0,0,0,2,"(932,1136]","(255,11745]"
185,2,7565,1,1,0,0,0,4,"(534,672]","(255,11745]"
788,6,17754,1,0,0,0,0,12,"(1492,2006]","(255,11745]"
608,6,4839,1,0,0,0,1,10,"(427,534]","(15155,22370]"
359,6,7044,1,0,0,0,0,8,"(534,672]","(255,11745]"
849,7,0,0,0,0,0,0,5,"(0,195]","(255,11745]"
700,3,5061,1,1,0,0,1,11,"(534,672]","(255,11745]"
241,6,5831,1,0,0,0,0,7,"(534,672]","(255,11745]"
696,2,14233,1,0,0,1,0,12,"(1492,2006]","(255,11745]"
584,3,4617,1,1,0,0,1,1,"(195,427]","(255,11745]"
870,2,7030,1,0,0,0,0,11,"(799,932]","(255,11745]"
237,1,5174,1,0,0,0,0,2,"(534,672]","(255,11745]"
8,3,8523,1,1,0,0,0,7,"(799,932]","(255,11745]"
1061,7,0,0,0,0,0,0,11,"(0,195]","(255,11745]"
762,2,3225,1,1,0,0,1,4,"(195,427]","(255,11745]"
674,1,6611,1,0,0,0,1,11,"(932,1136]","(255,11745]"
601,4,4133,1,0,0,1,1,10,"(195,427]","(255,11745]"
481,3,4601,1,0,0,0,1,12,"(427,534]","(255,11745]"
347,1,6118,1,1,0,0,1,6,"(427,534]","(255,11745]"
759,4,5078,1,0,0,0,1,3,"(534,672]","(35,245]"
995,1,0,0,0,2,1,0,4,"(0,195]","(255,11745]"
456,4,4265,1,0,0,0,0,10,"(672,799]","(35,245]"
761,7,0,0,0,0,0,0,4,"(0,195]","(255,11745]"
525,4,14466,1,1,0,1,0,3,"(1136,1492]","(255,11745]"
556,7,0,0,0,0,0,0,4,"(0,195]","(255,11745]"
830,7,0,0,0,0,0,1,9,"(0,195]","(255,11745]"
929,4,5195,1,1,0,0,0,2,"(672,799]","(255,11745]"
287,1,8047,1,0,0,0,1,5,"(799,932]","(255,11745]"
362,3,9460,1,1,0,1,0,7,"(932,1136]","(255,11745]"
56,3,5737,1,0,0,0,1,10,"(195,427]","(255,11745]"
720,3,7956,1,0,0,0,1,5,"(799,932]","(15155,22370]"
834,2,4295,1,0,0,0,0,8,"(534,672]","(255,11745]"
538,4,3975,1,1,0,0,0,6,"(534,672]","(255,11745]"
852,3,4916,1,1,0,1,1,7,"(534,672]","(255,11745]"
80,3,8388,1,1,0,1,0,7,"(534,672]","(255,11745]"
150,6,9502,1,0,0,0,0,8,"(932,1136]","(27070,75860]"
70,4,6552,1,1,0,0,0,6,"(672,799]","(255,11745]"
586,6,16063,1,0,0,0,0,7,"(2006,4510]","(245,255]"
852,1,3883,1,0,0,0,1,9,"(534,672]","(255,11745]"
599,4,8310,1,0,0,0,0,7,"(672,799]","(255,11745]"
386,4,6197,1,0,0,0,1,6,"(534,672]","(255,11745]"
478,5,6639,1,0,0,1,0,7,"(672,799]","(255,11745]"
351,7,0,0,0,0,0,1,4,"(0,195]","(255,11745]"
1059,1,6798,1,0,0,0,0,10,"(932,1136]","(255,11745]"
571,2,7472,1,1,0,0,1,4,"(534,672]","(255,11745]"
1058,2,5936,1,0,0,0,1,2,"(672,799]","(35,245]"
316,4,10450,1,1,0,1,0,7,"(799,932]","(255,11745]"
617,3,0,0,0,3,1,1,12,"(0,195]","(255,11745]"
506,7,0,0,0,0,0,1,2,"(0,195]","(255,11745]"
874,5,5462,1,1,0,0,0,2,"(534,672]","(255,11745]"
1110,5,7081,1,1,0,0,0,8,"(672,799]","(255,11745]"
221,6,8405,1,0,0,0,0,5,"(672,799]","(11825,13550]"
990,7,0,0,0,0,0,0,11,"(0,195]","(15155,22370]"
688,5,3473,1,0,0,0,1,1,"(195,427]","(15155,22370]"
375,2,7630,1,0,0,0,1,6,"(672,799]","(15155,22370]"
797,3,2343,1,0,0,0,1,9,"(195,427]","(255,11745]"
617,4,5780,1,0,0,0,1,3,"(534,672]","(255,11745]"
268,4,5546,1,1,0,0,0,6,"(534,672]","(255,11745]"
643,3,8403,1,1,0,0,1,2,"(932,1136]","(35,245]"
212,2,5685,1,1,0,0,0,4,"(427,534]","(13550,15155]"
931,7,1401,1,0,0,0,1,10,"(0,195]","(255,11745]"
1095,7,0,0,0,0,0,1,11,"(0,195]","(255,11745]"
1052,3,7561,1,1,0,0,1,9,"(672,799]","(255,11745]"
700,7,0,0,0,0,0,1,3,"(0,195]","(255,11745]"
642,7,0,0,0,0,0,1,8,"(0,195]","(255,11745]"
349,6,7238,1,0,0,0,0,1,"(672,799]","(255,11745]"
105,1,2714,1,1,0,0,1,1,"(195,427]","(255,11745]"
956,2,5007,1,1,0,0,1,9,"(534,672]","(255,11745]"
563,1,8769,1,1,0,0,1,11,"(932,1136]","(255,11745]"
508,3,5512,1,1,0,0,1,6,"(427,534]","(255,11745]"
18,7,0,0,0,0,0,1,9,"(0,195]","(13550,15155]"
156,7,0,0,0,0,0,1,8,"(0,195]","(255,11745]"
931,6,1598,1,0,0,0,1,2,"(195,427]","(255,11745]"
24,5,7930,1,0,0,1,1,7,"(672,799]","(255,11745]"
610,7,0,0,0,0,0,0,2,"(0,195]","(255,11745]"
513,4,19770,1,1,0,1,0,7,"(2006,4510]","(255,11745]"
38,7,0,0,0,0,0,0,3,"(0,195]","(255,11745]"
127,6,4841,1,0,0,0,1,7,"(672,799]","(255,11745]"
81,7,0,0,0,0,0,1,4,"(0,195]","(255,11745]"
135,1,5043,1,0,0,0,1,2,"(427,534]","(255,11745]"
852,7,0,0,0,0,0,1,4,"(0,195]","(255,11745]"
978,2,0,0,0,1,1,0,1,"(0,195]","(255,11745]"
229,3,6402,1,0,0,0,1,3,"(534,672]","(15155,22370]"
941,4,3965,1,0,0,0,1,7,"(427,534]","(255,11745]"
609,6,2614,1,0,0,0,0,11,"(195,427]","(255,11745]"
786,5,4659,1,1,0,0,1,1,"(534,672]","(255,11745]"
156,5,5223,1,0,0,1,1,7,"(534,672]","(255,11745]"
645,1,14191,1,1,0,1,1,9,"(1492,2006]","(35,245]"
984,7,0,0,0,0,0,1,10,"(0,195]","(255,11745]"
823,7,0,0,0,0,0,0,8,"(0,195]","(15155,22370]"
452,3,5815,1,1,0,0,1,11,"(427,534]","(255,11745]"
932,7,0,0,0,0,0,1,3,"(0,195]","(15155,22370]"
444,1,0,0,0,1,0,0,5,"(0,195]","(255,11745]"
314,5,4759,1,0,0,0,1,6,"(427,534]","(255,11745]"
427,1,10844,1,1,0,0,1,1,"(932,1136]","(35,245]"
497,1,7929,1,0,0,0,0,1,"(932,1136]","(255,11745]"
537,2,6207,1,1,0,0,1,7,"(672,799]","(255,11745]"
972,2,4186,1,1,0,0,0,2,"(195,427]","(13550,15155]"
170,4,3559,1,0,0,1,1,10,"(427,534]","(255,11745]"
184,1,8140,1,1,0,1,0,7,"(534,672]","(255,11745]"
795,4,0,0,1,1,0,1,5,"(0,195]","(255,11745]"
760,4,8119,1,0,0,1,0,7,"(1136,1492]","(255,11745]"
34,7,0,0,0,0,0,0,4,"(0,195]","(255,11745]"
661,4,8735,1,1,0,0,0,7,"(534,672]","(255,11745]"
237,1,5825,1,1,0,0,0,1,"(672,799]","(255,11745]"
784,2,6994,1,0,0,1,1,8,"(799,932]","(255,11745]"
22,7,0,0,0,0,0,1,1,"(0,195]","(255,11745]"
80,1,8737,1,1,0,0,0,7,"(534,672]","(255,11745]"
27,2,7192,1,0,0,0,1,2,"(932,1136]","(35,245]"
624,1,10784,1,1,0,1,0,1,"(799,932]","(255,11745]"
904,5,4329,1,0,0,1,1,5,"(195,427]","(255,11745]"
917,5,6635,1,0,0,0,0,5,"(799,932]","(255,11745]"
1017,3,0,0,1,1,0,0,5,"(0,195]","(35,245]"
905,3,8882,1,1,0,0,0,6,"(1136,1492]","(35,245]"
886,3,8961,1,1,0,0,0,12,"(672,799]","(11825,13550]"
979,2,5722,1,0,0,0,1,5,"(534,672]","(255,11745]"
499,1,6603,1,1,0,1,1,8,"(799,932]","(255,11745]"
851,7,0,0,0,0,0,1,1,"(0,195]","(255,11745]"
1099,3,6598,1,1,0,0,1,2,"(672,799]","(35,245]"
927,3,5133,1,0,0,0,0,3,"(672,799]","(255,11745]"
931,4,4178,1,1,0,0,1,2,"(427,534]","(255,11745]"
669,1,5488,1,1,0,0,1,3,"(195,427]","(15155,22370]"
786,1,6188,1,1,0,1,1,7,"(799,932]","(255,11745]"
689,2,7253,1,1,0,0,0,3,"(672,799]","(13550,15155]"
998,4,3830,1,0,0,0,1,4,"(427,534]","(255,11745]"
581,4,4317,1,0,0,0,0,10,"(534,672]","(255,11745]"
89,5,5791,1,0,0,0,1,3,"(534,672]","(255,11745]"
1038,7,0,0,0,0,0,0,6,"(0,195]","(15155,22370]"
947,5,7022,1,0,0,0,1,5,"(932,1136]","(255,11745]"
817,1,22310,1,0,0,0,0,3,"(2006,4510]","(35,245]"
416,7,0,0,0,0,0,0,4,"(0,195]","(255,11745]"
172,6,6559,1,0,0,0,1,7,"(672,799]","(35,245]"
408,7,0,0,0,0,0,1,5,"(0,195]","(255,11745]"
907,2,5127,1,0,0,1,0,8,"(672,799]","(245,255]"
398,4,4241,1,0,0,0,1,7,"(534,672]","(255,11745]"
665,2,9742,1,1,0,0,1,5,"(1136,1492]","(35,245]"
645,6,8953,1,0,0,0,1,12,"(1136,1492]","(35,245]"
382,2,6269,1,0,0,0,0,4,"(534,672]","(22370,27070]"
145,5,7842,1,0,0,1,1,5,"(932,1136]","(255,11745]"
786,5,3679,1,1,0,0,1,1,"(534,672]","(255,11745]"
927,4,0,0,1,1,0,0,6,"(0,195]","(255,11745]"
584,7,0,0,0,0,0,1,2,"(0,195]","(255,11745]"
439,1,10647,1,1,0,0,0,11,"(1136,1492]","(255,11745]"
963,6,4037,1,0,0,0,0,8,"(195,427]","(22370,27070]"
644,4,7108,1,0,0,0,1,11,"(799,932]","(255,11745]"
772,3,4805,1,1,0,0,0,7,"(534,672]","(255,11745]"
1087,3,5104,1,0,0,0,0,7,"(427,534]","(255,11745]"
340,4,5480,1,1,0,0,0,1,"(534,672]","(255,11745]"
82,4,8916,1,1,0,0,1,3,"(799,932]","(22370,27070]"
1014,4,11852,1,0,0,0,1,2,"(1136,1492]","(35,245]"
180,4,7675,1,1,0,0,0,4,"(799,932]","(255,11745]"
1036,5,4853,1,1,0,0,1,2,"(427,534]","(255,11745]"
90,2,8649,1,1,0,0,0,2,"(932,1136]","(255,11745]"
771,1,8647,1,1,0,0,0,7,"(799,932]","(15155,22370]"
136,1,3495,1,0,0,1,1,2,"(195,427]","(255,11745]"
701,3,3228,1,0,0,0,1,9,"(427,534]","(255,11745]"
448,2,11226,1,1,0,0,0,2,"(799,932]","(255,11745]"
179,5,8923,1,1,0,1,0,8,"(932,1136]","(255,11745]"
730,5,7733,1,1,0,1,0,8,"(932,1136]","(255,11745]"
684,4,5100,1,0,0,0,1,10,"(427,534]","(255,11745]"
994,7,0,0,0,0,0,1,3,"(0,195]","(255,11745]"
793,2,3074,1,0,0,1,0,10,"(195,427]","(255,11745]"
558,4,3883,1,1,0,0,0,2,"(427,534]","(255,11745]"
397,6,4303,1,0,0,0,1,3,"(534,672]","(35,245]"
168,5,7306,1,1,0,0,0,3,"(672,799]","(11825,13550]"
412,7,0,0,0,0,0,1,6,"(0,195]","(255,11745]"
860,4,4290,1,0,0,0,0,4,"(534,672]","(255,11745]"
209,6,3964,1,0,0,0,1,1,"(195,427]","(255,11745]"
628,5,4759,1,0,0,0,0,2,"(672,799]","(255,11745]"
191,2,7244,1,1,0,0,1,2,"(672,799]","(255,11745]"
816,1,4228,1,0,0,0,0,3,"(672,799]","(255,11745]"
505,1,6924,1,1,0,1,1,9,"(672,799]","(255,11745]"
282,7,0,0,0,0,0,0,4,"(0,195]","(255,11745]"
240,6,3696,1,0,0,0,0,3,"(195,427]","(255,11745]"
330,6,4440,1,0,0,0,1,4,"(427,534]","(255,11745]"
446,2,6521,1,1,0,0,1,5,"(672,799]","(255,11745]"
768,6,11349,1,0,0,0,0,5,"(1136,1492]","(255,11745]"
340,3,5232,1,0,0,0,0,3,"(534,672]","(255,11745]"
76,2,7452,1,0,0,0,0,5,"(799,932]","(15155,22370]"
343,7,0,0,0,0,0,1,4,"(0,195]","(15155,22370]"
986,6,0,0,0,1,0,1,11,"(0,195]","(255,11745]"
666,7,0,0,0,0,0,1,3,"(0,195]","(255,11745]"
741,2,9347,1,1,0,1,0,9,"(932,1136]","(11825,13550]"
353,3,3225,1,0,0,0,1,1,"(932,1136]","(255,11745]"
403,7,0,0,0,0,0,0,2,"(0,195]","(255,11745]"
396,6,5720,1,0,0,0,0,5,"(534,672]","(22370,27070]"
