Store,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,CompetitionDistance,Promo2,Month_binned
176,6,3566,440,1,0,0,0,3770.0,0,"(0,3]"
595,7,0,0,0,0,0,0,1130.0,0,"(6,9]"
744,1,10068,949,1,1,0,1,1370.0,1,"(3,6]"
837,1,6112,673,1,1,0,0,14600.0,0,"(3,6]"
39,4,0,0,0,0,1,0,260.0,1,"(3,6]"
69,5,9311,1186,1,1,0,0,1130.0,1,"(3,6]"
446,3,5679,732,1,1,0,0,340.0,1,"(9,12]"
809,7,0,0,0,0,0,0,12770.0,0,"(6,9]"
708,4,5748,529,1,1,0,0,11470.0,1,"(0,3]"
391,3,6725,692,1,1,0,0,460.0,1,"(9,12]"
1080,2,10967,829,1,1,0,1,2410.0,1,"(6,9]"
445,5,7173,1106,1,0,0,0,240.0,0,"(0,3]"
921,5,0,0,0,1,2,1,840.0,0,"(3,6]"
610,4,5327,687,1,1,0,0,660.0,0,"(3,6]"
1100,2,6954,815,1,1,0,1,540.0,1,"(6,9]"
112,1,6249,725,1,0,0,0,1630.0,0,"(3,6]"
777,1,3396,314,1,0,0,0,8250.0,1,"(0,3]"
821,2,8490,863,1,1,0,0,1700.0,0,"(3,6]"
537,4,6718,682,1,1,0,0,600.0,1,"(3,6]"
1082,6,5004,818,1,0,0,0,440.0,0,"(3,6]"
956,2,4231,539,1,1,0,1,2330.0,1,"(6,9]"
246,7,0,0,0,0,0,0,4660.0,0,"(9,12]"
795,7,0,0,0,0,0,0,510.0,1,"(6,9]"
898,5,7739,823,1,1,0,0,18540.0,0,"(3,6]"
100,4,8042,670,1,1,0,0,17930.0,0,"(0,3]"
164,3,6014,616,1,1,0,0,1160.0,1,"(9,12]"
61,3,5601,616,1,1,0,0,350.0,1,"(6,9]"
977,1,3931,445,1,0,0,0,520.0,1,"(3,6]"
106,4,8547,795,1,1,0,1,1390.0,0,"(6,9]"
1062,6,5982,599,1,0,0,0,190.0,1,"(3,6]"
506,4,7194,809,1,1,0,0,1850.0,1,"(0,3]"
1008,7,0,0,0,0,0,0,30.0,0,"(6,9]"
922,2,0,0,0,0,0,0,2110.0,0,"(3,6]"
16,6,4832,536,1,0,0,0,3270.0,0,"(0,3]"
197,4,7723,849,1,1,0,0,4210.0,0,"(3,6]"
1089,1,14407,1279,1,1,0,0,5220.0,0,"(3,6]"
959,6,3102,389,1,0,0,0,1060.0,0,"(9,12]"
593,5,8221,1136,1,0,0,0,33060.0,0,"(0,3]"
1029,2,7852,1005,1,1,0,0,1590.0,0,"(6,9]"
764,6,1551,185,1,0,0,0,26490.0,1,"(3,6]"
762,1,6417,554,1,1,0,0,1280.0,1,"(0,3]"
822,1,7492,623,1,0,0,1,410.0,1,"(6,9]"
998,1,3765,534,1,0,0,1,780.0,1,"(9,12]"
278,2,8055,804,1,1,0,1,9260.0,0,"(6,9]"
918,4,4655,557,1,0,0,0,18710.0,0,"(3,6]"
884,6,4272,430,1,0,0,0,7550.0,0,"(6,9]"
842,7,0,0,0,0,0,0,1200.0,0,"(3,6]"
274,7,5776,1316,1,0,0,0,3640.0,1,"(9,12]"
38,6,6155,610,1,0,0,0,1090.0,0,"(0,3]"
490,2,8723,1096,1,1,0,0,660.0,1,"(3,6]"
227,6,4074,394,1,0,0,0,2370.0,0,"(3,6]"
590,1,4769,372,1,0,0,0,4520.0,1,"(9,12]"
1005,6,4943,847,1,0,0,0,6480.0,0,"(6,9]"
322,4,4302,580,1,0,0,0,17500.0,1,"(6,9]"
656,3,3692,373,1,1,0,0,410.0,1,"(9,12]"
697,7,0,0,0,0,0,0,3780.0,1,"(3,6]"
1005,1,7644,1068,1,1,0,0,6480.0,0,"(9,12]"
1108,3,6187,587,1,1,0,1,540.0,0,"(0,3]"
909,5,11729,1070,1,1,0,0,1680.0,1,"(9,12]"
604,3,8000,573,1,1,0,0,10950.0,0,"(0,3]"
217,4,3849,565,1,0,0,0,3150.0,0,"(9,12]"
281,3,4431,449,1,0,0,0,6970.0,0,"(0,3]"
677,2,5573,510,1,0,0,0,1740.0,1,"(3,6]"
378,4,7424,1121,1,1,0,0,2140.0,0,"(3,6]"
540,5,4564,348,1,1,0,0,810.0,1,"(6,9]"
335,6,7788,1616,1,0,0,0,90.0,1,"(3,6]"
951,5,8881,774,1,1,0,0,710.0,1,"(6,9]"
1036,3,5252,450,1,1,0,1,9560.0,1,"(6,9]"
860,6,6237,770,1,0,0,0,5980.0,0,"(6,9]"
734,6,2930,298,1,0,0,0,220.0,1,"(6,9]"
133,3,5220,579,1,0,0,0,270.0,1,"(3,6]"
42,2,9237,1095,1,0,0,0,290.0,1,"(3,6]"
574,7,0,0,0,0,0,0,4400.0,0,"(0,3]"
861,6,4491,674,1,0,0,0,740.0,1,"(9,12]"
575,1,10765,799,1,1,0,1,960.0,1,"(0,3]"
324,3,4435,651,1,0,0,0,13140.0,1,"(9,12]"
216,6,5990,722,1,0,0,0,190.0,1,"(6,9]"
360,4,5736,682,1,0,0,0,2040.0,0,"(9,12]"
645,5,8726,1122,1,1,0,0,90.0,1,"(6,9]"
732,5,3861,442,1,1,0,0,35280.0,0,"(0,3]"
913,4,6092,921,1,0,0,0,280.0,0,"(0,3]"
263,6,4616,428,1,0,0,0,1140.0,1,"(6,9]"
527,7,0,0,0,0,0,0,5830.0,0,"(6,9]"
758,6,2635,394,1,0,0,0,19780.0,0,"(9,12]"
821,1,12620,1273,1,1,0,1,1700.0,0,"(6,9]"
28,4,5446,598,1,1,0,0,1200.0,1,"(3,6]"
390,7,0,0,0,0,0,0,1600.0,0,"(6,9]"
243,1,10144,1173,1,1,0,0,310.0,1,"(3,6]"
1068,7,0,0,0,0,0,0,5010.0,1,"(3,6]"
465,1,4414,409,1,0,0,0,10890.0,0,"(0,3]"
1063,2,3900,460,1,1,0,1,6250.0,0,"(6,9]"
151,2,5105,558,1,0,0,0,4360.0,0,"(3,6]"
965,7,0,0,0,0,0,0,110.0,0,"(0,3]"
809,2,15411,1114,1,1,0,0,12770.0,0,"(0,3]"
488,1,2884,324,1,0,0,0,2890.0,0,"(0,3]"
614,3,5404,882,1,0,0,0,1160.0,0,"(0,3]"
1028,4,3159,416,1,0,0,0,150.0,1,"(6,9]"
790,2,11490,919,1,1,0,0,9070.0,0,"(9,12]"
401,7,0,0,0,0,0,0,9200.0,1,"(0,3]"
1005,5,5544,861,1,0,0,0,6480.0,0,"(0,3]"
695,6,2786,280,1,0,0,0,550.0,1,"(0,3]"
135,7,0,0,0,0,0,0,5190.0,1,"(0,3]"
239,1,8485,694,1,1,0,0,610.0,0,"(6,9]"
1078,5,7415,581,1,1,0,0,670.0,1,"(0,3]"
483,6,1619,218,1,0,0,0,2310.0,1,"(3,6]"
289,5,5369,522,1,0,0,1,6540.0,0,"(3,6]"
363,6,6104,822,1,0,0,0,250.0,0,"(3,6]"
131,3,3357,397,1,0,0,0,920.0,0,"(0,3]"
346,4,5858,598,1,1,0,0,8090.0,0,"(3,6]"
1115,1,7704,522,1,1,0,0,5350.0,1,"(9,12]"
840,1,10515,1364,1,1,0,1,1070.0,0,"(6,9]"
846,1,6583,769,1,0,0,0,8860.0,1,"(0,3]"
234,5,12649,1051,1,0,0,0,4370.0,0,"(3,6]"
490,6,8525,1145,1,0,0,0,660.0,1,"(3,6]"
178,7,0,0,0,0,0,0,1710.0,0,"(3,6]"
811,4,4383,700,1,1,0,0,410.0,0,"(0,3]"
702,3,5908,446,1,1,0,0,8550.0,1,"(0,3]"
826,2,7726,708,1,0,0,0,7980.0,0,"(3,6]"
713,6,9414,1279,1,0,0,0,220.0,1,"(0,3]"
212,7,0,0,0,0,0,0,15050.0,0,"(6,9]"
95,7,0,0,0,0,0,0,1890.0,0,"(0,3]"
726,3,12973,1093,1,1,0,1,40540.0,0,"(6,9]"
886,2,4537,544,1,0,0,1,12430.0,0,"(9,12]"
152,2,3912,510,1,0,0,1,1780.0,0,"(6,9]"
829,3,5947,789,1,1,0,0,110.0,0,"(9,12]"
357,1,5796,858,1,0,0,1,2060.0,0,"(6,9]"
819,3,4793,458,1,0,0,1,720.0,0,"(3,6]"
743,5,3612,438,1,0,0,1,6710.0,1,"(6,9]"
80,7,0,0,0,0,0,0,7910.0,0,"(0,3]"
391,6,3011,387,1,0,0,0,460.0,1,"(3,6]"
727,1,4287,503,1,0,0,0,2050.0,0,"(0,3]"
295,6,5445,764,1,0,0,0,210.0,1,"(6,9]"
1110,1,5545,594,1,1,0,0,900.0,0,"(9,12]"
497,5,10178,1251,1,1,0,0,1610.0,0,"(9,12]"
791,2,7137,764,1,1,0,0,5950.0,0,"(3,6]"
37,6,6725,825,1,0,0,0,4230.0,0,"(6,9]"
368,1,15685,959,1,1,0,0,1450.0,1,"(3,6]"
715,4,7162,748,1,1,0,0,14810.0,0,"(6,9]"
375,1,6966,676,1,0,0,1,15710.0,1,"(6,9]"
896,6,11221,1595,1,0,0,0,170.0,0,"(9,12]"
1076,2,2700,451,1,0,0,0,90.0,1,"(3,6]"
269,2,12499,1590,1,1,0,1,60.0,0,"(6,9]"
31,6,5961,594,1,0,0,0,9800.0,0,"(0,3]"
498,3,7043,857,1,1,0,0,990.0,1,"(0,3]"
337,2,5191,383,1,1,0,0,10600.0,1,"(9,12]"
155,3,5400,559,1,0,0,1,3050.0,1,"(9,12]"
741,6,6540,825,1,0,0,0,11900.0,0,"(6,9]"
484,6,8791,782,1,0,0,0,14300.0,0,"(6,9]"
794,5,3623,560,1,1,0,0,5090.0,0,"(3,6]"
303,2,7953,834,1,1,0,0,15430.0,1,"(3,6]"
565,2,8017,877,1,1,0,0,160.0,0,"(3,6]"
604,1,6323,522,1,0,0,0,10950.0,0,"(0,3]"
274,4,3515,948,1,0,0,0,3640.0,1,"(0,3]"
66,5,6964,632,1,1,0,0,7660.0,1,"(3,6]"
220,2,5445,604,1,0,0,1,1000.0,0,"(6,9]"
391,2,4600,661,1,0,0,0,460.0,1,"(3,6]"
729,4,9765,1011,1,1,0,0,8980.0,0,"(9,12]"
758,6,4477,549,1,0,0,0,19780.0,0,"(3,6]"
285,1,5790,520,1,1,0,0,2410.0,0,"(0,3]"
227,7,0,0,0,0,0,0,2370.0,0,"(3,6]"
457,6,5626,557,1,0,0,0,13140.0,1,"(3,6]"
84,4,12697,1366,1,1,0,0,11810.0,0,"(9,12]"
923,3,6284,710,1,1,0,0,280.0,0,"(0,3]"
949,5,7228,559,1,1,0,0,870.0,0,"(9,12]"
695,3,4246,415,1,0,0,0,550.0,1,"(3,6]"
1038,7,0,0,0,0,0,0,17290.0,0,"(3,6]"
905,6,10249,1465,1,0,0,0,90.0,0,"(9,12]"
312,1,9172,744,1,1,0,0,11300.0,0,"(9,12]"
590,1,4585,394,1,0,0,0,4520.0,1,"(6,9]"
10,2,4739,588,1,0,0,0,3160.0,0,"(3,6]"
815,5,6835,660,1,1,0,0,590.0,1,"(0,3]"
89,1,8783,802,1,1,0,0,2380.0,1,"(0,3]"
125,4,9337,1308,1,0,0,1,760.0,0,"(6,9]"
41,7,0,0,0,0,0,0,1180.0,1,"(9,12]"
116,1,10469,961,1,1,0,0,680.0,0,"(0,3]"
185,2,7565,569,1,1,0,0,1860.0,0,"(3,6]"
788,6,17754,1502,1,0,0,0,1530.0,0,"(9,12]"
608,6,4839,474,1,0,0,0,18370.0,1,"(9,12]"
359,6,7044,642,1,0,0,0,4370.0,0,"(6,9]"
849,7,0,0,0,0,0,0,5000.0,0,"(3,6]"
700,3,5061,598,1,1,0,0,830.0,1,"(9,12]"
241,6,5831,667,1,0,0,0,780.0,0,"(6,9]"
696,2,14233,1573,1,0,0,1,430.0,0,"(9,12]"
584,3,4617,413,1,1,0,0,1360.0,1,"(0,3]"
870,2,7030,903,1,0,0,0,780.0,0,"(9,12]"
237,1,5174,598,1,0,0,0,1420.0,0,"(0,3]"
8,3,8523,895,1,1,0,0,7520.0,0,"(6,9]"
1061,7,0,0,0,0,0,0,8110.0,0,"(9,12]"
762,2,3225,330,1,1,0,0,1280.0,1,"(3,6]"
674,1,6611,955,1,0,0,0,2640.0,1,"(9,12]"
601,4,4133,343,1,0,0,1,8220.0,1,"(9,12]"
481,3,4601,471,1,0,0,0,7470.0,1,"(9,12]"
347,1,6118,436,1,1,0,0,9360.0,1,"(3,6]"
759,4,5078,602,1,0,0,0,110.0,1,"(0,3]"
995,1,0,0,0,0,2,1,6560.0,0,"(3,6]"
456,4,4265,702,1,0,0,0,140.0,0,"(9,12]"
761,7,0,0,0,0,0,0,2390.0,0,"(3,6]"
525,4,14466,1146,1,1,0,1,1870.0,0,"(0,3]"
556,7,0,0,0,0,0,0,1140.0,0,"(3,6]"
830,7,0,0,0,0,0,0,6320.0,1,"(6,9]"
929,4,5195,712,1,1,0,0,4820.0,0,"(0,3]"
287,1,8047,834,1,0,0,0,2740.0,1,"(3,6]"
362,3,9460,1036,1,1,0,1,340.0,0,"(6,9]"
56,3,5737,426,1,0,0,0,6620.0,1,"(9,12]"
720,3,7956,818,1,0,0,0,15320.0,1,"(3,6]"
834,2,4295,540,1,0,0,0,3470.0,0,"(6,9]"
538,4,3975,565,1,1,0,0,990.0,0,"(3,6]"
852,3,4916,558,1,1,0,1,940.0,1,"(6,9]"
80,3,8388,575,1,1,0,1,7910.0,0,"(6,9]"
150,6,9502,958,1,0,0,0,31830.0,0,"(6,9]"
70,4,6552,689,1,1,0,0,4840.0,0,"(3,6]"
586,6,16063,3248,1,0,0,0,250.0,0,"(6,9]"
852,1,3883,595,1,0,0,0,940.0,1,"(6,9]"
599,4,8310,759,1,0,0,0,580.0,0,"(6,9]"
386,4,6197,543,1,0,0,0,1460.0,1,"(3,6]"
478,5,6639,711,1,0,0,1,1940.0,0,"(6,9]"
351,7,0,0,0,0,0,0,5290.0,1,"(3,6]"
1059,1,6798,1102,1,0,0,0,3380.0,0,"(9,12]"
571,2,7472,563,1,1,0,0,2110.0,1,"(3,6]"
1058,2,5936,705,1,0,0,0,180.0,1,"(0,3]"
316,4,10450,905,1,1,0,1,9000.0,0,"(6,9]"
617,3,0,0,0,0,3,1,8940.0,1,"(9,12]"
506,7,0,0,0,0,0,0,1850.0,1,"(0,3]"
874,5,5462,590,1,1,0,0,3210.0,0,"(0,3]"
1110,5,7081,707,1,1,0,0,900.0,0,"(6,9]"
221,6,8405,783,1,0,0,0,13530.0,0,"(3,6]"
990,7,0,0,0,0,0,0,20930.0,0,"(9,12]"
688,5,3473,419,1,0,0,0,18760.0,1,"(0,3]"
375,2,7630,765,1,0,0,0,15710.0,1,"(3,6]"
797,3,2343,269,1,0,0,0,2090.0,1,"(6,9]"
617,4,5780,537,1,0,0,0,8940.0,1,"(0,3]"
268,4,5546,618,1,1,0,0,4520.0,0,"(3,6]"
643,3,8403,1016,1,1,0,0,230.0,1,"(0,3]"
212,2,5685,492,1,1,0,0,15050.0,0,"(3,6]"
931,7,1401,190,1,0,0,0,1480.0,1,"(9,12]"
1095,7,0,0,0,0,0,0,690.0,1,"(9,12]"
1052,3,7561,765,1,1,0,0,5080.0,1,"(6,9]"
700,7,0,0,0,0,0,0,830.0,1,"(0,3]"
642,7,0,0,0,0,0,0,530.0,1,"(6,9]"
349,6,7238,722,1,0,0,0,1490.0,0,"(0,3]"
105,1,2714,416,1,1,0,0,6190.0,1,"(0,3]"
956,2,5007,641,1,1,0,0,2330.0,1,"(6,9]"
563,1,8769,952,1,1,0,0,700.0,1,"(9,12]"
508,3,5512,501,1,1,0,0,1280.0,1,"(3,6]"
18,7,0,0,0,0,0,0,13840.0,1,"(6,9]"
156,7,0,0,0,0,0,0,2020.0,1,"(6,9]"
931,6,1598,214,1,0,0,0,1480.0,1,"(0,3]"
24,5,7930,744,1,0,0,1,4590.0,1,"(6,9]"
610,7,0,0,0,0,0,0,660.0,0,"(0,3]"
513,4,19770,2127,1,1,0,1,400.0,0,"(6,9]"
38,7,0,0,0,0,0,0,1090.0,0,"(0,3]"
127,6,4841,711,1,0,0,0,1350.0,1,"(6,9]"
81,7,0,0,0,0,0,0,2370.0,1,"(3,6]"
135,1,5043,486,1,0,0,0,5190.0,1,"(0,3]"
852,7,0,0,0,0,0,0,940.0,1,"(3,6]"
978,2,0,0,0,0,1,1,3890.0,0,"(0,3]"
229,3,6402,591,1,0,0,0,17410.0,1,"(0,3]"
941,4,3965,528,1,0,0,0,1200.0,1,"(6,9]"
609,6,2614,275,1,0,0,0,2070.0,0,"(9,12]"
786,5,4659,668,1,1,0,0,290.0,1,"(0,3]"
156,5,5223,613,1,0,0,1,2020.0,1,"(6,9]"
645,1,14191,1552,1,1,0,1,90.0,1,"(6,9]"
984,7,0,0,0,0,0,0,440.0,1,"(9,12]"
823,7,0,0,0,0,0,0,16210.0,0,"(6,9]"
452,3,5815,500,1,1,0,0,1850.0,1,"(9,12]"
932,7,0,0,0,0,0,0,15700.0,1,"(0,3]"
444,1,0,0,0,0,1,0,1700.0,0,"(3,6]"
314,5,4759,527,1,0,0,0,3560.0,1,"(3,6]"
427,1,10844,968,1,1,0,0,70.0,1,"(0,3]"
497,1,7929,1035,1,0,0,0,1610.0,0,"(0,3]"
537,2,6207,684,1,1,0,0,600.0,1,"(6,9]"
972,2,4186,415,1,1,0,0,14960.0,0,"(0,3]"
170,4,3559,453,1,0,0,1,1070.0,1,"(9,12]"
184,1,8140,658,1,1,0,1,3560.0,0,"(6,9]"
795,4,0,0,0,1,1,0,510.0,1,"(3,6]"
760,4,8119,1466,1,0,0,1,560.0,0,"(6,9]"
34,7,0,0,0,0,0,0,2240.0,0,"(3,6]"
661,4,8735,621,1,1,0,0,2140.0,0,"(6,9]"
237,1,5825,714,1,1,0,0,1420.0,0,"(0,3]"
784,2,6994,845,1,0,0,1,560.0,1,"(6,9]"
22,7,0,0,0,0,0,0,1040.0,1,"(0,3]"
80,1,8737,645,1,1,0,0,7910.0,0,"(6,9]"
27,2,7192,965,1,0,0,0,60.0,1,"(0,3]"
624,1,10784,898,1,1,0,1,6920.0,0,"(0,3]"
904,5,4329,403,1,0,0,1,570.0,1,"(3,6]"
917,5,6635,855,1,0,0,0,7240.0,0,"(3,6]"
1017,3,0,0,0,1,1,0,110.0,0,"(3,6]"
905,3,8882,1242,1,1,0,0,90.0,0,"(3,6]"
886,3,8961,735,1,1,0,0,12430.0,0,"(9,12]"
979,2,5722,661,1,0,0,0,2270.0,1,"(3,6]"
499,1,6603,826,1,1,0,1,450.0,1,"(6,9]"
851,7,0,0,0,0,0,0,2330.0,1,"(0,3]"
1099,3,6598,775,1,1,0,0,200.0,1,"(0,3]"
927,3,5133,770,1,0,0,0,480.0,0,"(0,3]"
931,4,4178,475,1,1,0,0,1480.0,1,"(0,3]"
669,1,5488,402,1,1,0,0,17080.0,1,"(0,3]"
786,1,6188,827,1,1,0,1,290.0,1,"(6,9]"
689,2,7253,744,1,1,0,0,15040.0,0,"(0,3]"
998,4,3830,475,1,0,0,0,780.0,1,"(3,6]"
581,4,4317,572,1,0,0,0,7250.0,0,"(9,12]"
89,5,5791,626,1,0,0,0,2380.0,1,"(0,3]"
1038,7,0,0,0,0,0,0,17290.0,0,"(3,6]"
947,5,7022,1009,1,0,0,0,460.0,1,"(3,6]"
817,1,22310,3307,1,0,0,0,140.0,0,"(0,3]"
416,7,0,0,0,0,0,0,4650.0,0,"(3,6]"
172,6,6559,769,1,0,0,0,110.0,1,"(6,9]"
408,7,0,0,0,0,0,0,1560.0,1,"(3,6]"
907,2,5127,776,1,0,0,1,250.0,0,"(6,9]"
398,4,4241,540,1,0,0,0,1540.0,1,"(6,9]"
665,2,9742,1449,1,1,0,0,90.0,1,"(3,6]"
645,6,8953,1269,1,0,0,0,90.0,1,"(9,12]"
382,2,6269,598,1,0,0,0,26130.0,0,"(3,6]"
145,5,7842,1077,1,0,0,1,280.0,1,"(3,6]"
786,5,3679,551,1,1,0,0,290.0,1,"(0,3]"
927,4,0,0,0,1,1,0,480.0,0,"(3,6]"
584,7,0,0,0,0,0,0,1360.0,1,"(0,3]"
439,1,10647,1139,1,1,0,0,1350.0,0,"(9,12]"
963,6,4037,390,1,0,0,0,23620.0,0,"(6,9]"
644,4,7108,826,1,0,0,0,4030.0,1,"(9,12]"
772,3,4805,556,1,1,0,0,1850.0,0,"(6,9]"
1087,3,5104,517,1,0,0,0,2210.0,0,"(6,9]"
340,4,5480,608,1,1,0,0,8080.0,0,"(0,3]"
82,4,8916,861,1,1,0,0,22390.0,1,"(0,3]"
1014,4,11852,1320,1,0,0,0,210.0,1,"(0,3]"
180,4,7675,871,1,1,0,0,5800.0,0,"(3,6]"
1036,5,4853,484,1,1,0,0,9560.0,1,"(0,3]"
90,2,8649,1007,1,1,0,0,330.0,0,"(0,3]"
771,1,8647,866,1,1,0,0,20640.0,0,"(6,9]"
136,1,3495,303,1,0,0,1,2200.0,1,"(0,3]"
701,3,3228,446,1,0,0,0,1450.0,1,"(6,9]"
448,2,11226,919,1,1,0,0,3970.0,0,"(0,3]"
179,5,8923,1111,1,1,0,1,480.0,0,"(6,9]"
730,5,7733,997,1,1,0,1,1190.0,0,"(6,9]"
684,4,5100,442,1,0,0,0,680.0,1,"(9,12]"
994,7,0,0,0,0,0,0,2290.0,1,"(0,3]"
793,2,3074,337,1,0,0,1,2710.0,0,"(9,12]"
558,4,3883,523,1,1,0,0,3000.0,0,"(0,3]"
397,6,4303,625,1,0,0,0,130.0,1,"(0,3]"
168,5,7306,737,1,1,0,0,12540.0,0,"(0,3]"
412,7,0,0,0,0,0,0,4460.0,1,"(3,6]"
860,4,4290,582,1,0,0,0,5980.0,0,"(3,6]"
209,6,3964,423,1,0,0,0,11680.0,1,"(0,3]"
628,5,4759,683,1,0,0,0,2180.0,0,"(0,3]"
191,2,7244,731,1,1,0,0,1100.0,1,"(0,3]"
816,1,4228,688,1,0,0,0,460.0,0,"(0,3]"
505,1,6924,689,1,1,0,1,350.0,1,"(6,9]"
282,7,0,0,0,0,0,0,1220.0,0,"(3,6]"
240,6,3696,337,1,0,0,0,1110.0,0,"(0,3]"
330,6,4440,450,1,0,0,0,370.0,1,"(3,6]"
446,2,6521,763,1,1,0,0,340.0,1,"(3,6]"
768,6,11349,1268,1,0,0,0,2630.0,0,"(3,6]"
340,3,5232,631,1,0,0,0,8080.0,0,"(0,3]"
76,2,7452,821,1,0,0,0,19960.0,0,"(3,6]"
343,7,0,0,0,0,0,0,18650.0,1,"(3,6]"
986,6,0,0,0,0,1,0,620.0,1,"(9,12]"
666,7,0,0,0,0,0,0,2700.0,1,"(0,3]"
741,2,9347,1035,1,1,0,1,11900.0,0,"(6,9]"
353,3,3225,1025,1,0,0,0,900.0,1,"(0,3]"
403,7,0,0,0,0,0,0,4970.0,0,"(0,3]"
396,6,5720,617,1,0,0,0,23130.0,0,"(3,6]"
485,4,3247,331,1,0,0,0,3270.0,1,"(0,3]"
3,4,7177,788,1,1,0,0,14130.0,1,"(9,12]"
1088,5,6003,551,1,1,0,0,4300.0,1,"(6,9]"
47,4,5656,894,1,0,0,0,270.0,1,"(0,3]"
471,7,0,0,0,0,0,0,5300.0,1,"(3,6]"
964,4,9859,1300,1,1,0,0,270.0,1,"(0,3]"
257,5,5990,724,1,0,0,1,420.0,0,"(9,12]"
721,5,9305,880,1,1,0,0,3590.0,1,"(3,6]"
166,5,3936,614,1,0,0,0,100.0,1,"(6,9]"
552,5,5769,581,1,0,0,0,4260.0,1,"(0,3]"
540,1,5870,411,1,0,0,0,810.0,1,"(6,9]"
571,3,6547,492,1,1,0,0,2110.0,1,"(3,6]"
410,6,6442,846,1,0,0,0,40.0,1,"(3,6]"
613,7,0,0,0,0,0,0,250.0,1,"(0,3]"
223,5,5859,759,1,0,0,1,2920.0,1,"(6,9]"
565,6,5095,700,1,0,0,0,160.0,0,"(0,3]"
868,4,8970,575,1,1,0,1,1360.0,1,"(0,3]"
224,5,5571,431,1,0,0,1,7930.0,1,"(6,9]"
537,1,4916,606,1,0,0,0,600.0,1,"(6,9]"
502,4,17630,2160,1,1,0,0,220.0,1,"(9,12]"
337,3,3398,280,1,0,0,0,10600.0,1,"(3,6]"
456,2,5261,802,1,0,0,0,140.0,0,"(9,12]"
169,7,0,0,0,0,0,0,980.0,1,"(3,6]"
987,5,7121,949,1,0,0,1,1690.0,0,"(0,3]"
411,7,0,0,0,0,0,1,8460.0,0,"(9,12]"
594,4,3751,416,1,1,0,0,1790.0,0,"(0,3]"
748,1,4314,397,1,0,0,0,2380.0,1,"(6,9]"
828,3,4874,547,1,1,0,1,3290.0,0,"(3,6]"
176,3,5655,612,1,1,0,0,3770.0,0,"(0,3]"
501,4,4638,550,1,0,0,0,1620.0,0,"(0,3]"
822,1,11146,850,1,1,0,0,410.0,1,"(0,3]"
169,2,8644,783,1,1,0,0,980.0,1,"(0,3]"
