Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,CompetitionDistance,Promo2
705,3,2015-03-04,9537,1092,1,1,0,0,4140.0,1
519,7,2013-09-15,0,0,0,0,0,0,2510.0,1
432,6,2013-05-25,6412,814,1,0,0,0,810.0,0
440,6,2015-07-25,3163,376,1,0,0,0,3900.0,1
715,7,2015-07-05,0,0,0,0,0,0,14810.0,0
455,2,2013-12-24,6503,413,1,0,0,1,7660.0,0
846,2,2014-06-10,9439,996,1,0,0,1,8860.0,1
555,1,2013-12-02,9587,750,1,1,0,0,1560.0,1
176,6,2013-03-02,3566,440,1,0,0,0,3770.0,0
595,7,2014-09-14,0,0,0,0,0,0,1130.0,0
744,1,2015-06-01,10068,949,1,1,0,1,1370.0,1
837,1,2015-06-15,6112,673,1,1,0,0,14600.0,0
39,4,2013-05-09,0,0,0,0,1,0,260.0,1
69,5,2015-05-22,9311,1186,1,1,0,0,1130.0,1
446,3,2013-11-20,5679,732,1,1,0,0,340.0,1
809,7,2014-08-03,0,0,0,0,0,0,12770.0,0
708,4,2015-01-29,5748,529,1,1,0,0,11470.0,1
391,3,2014-12-03,6725,692,1,1,0,0,460.0,1
1080,2,2013-09-10,10967,829,1,1,0,1,2410.0,1
445,5,2013-02-01,7173,1106,1,0,0,0,240.0,0
921,5,2014-04-18,0,0,0,1,2,1,840.0,0
610,4,2015-04-30,5327,687,1,1,0,0,660.0,0
1100,2,2013-08-13,6954,815,1,1,0,1,540.0,1
112,1,2014-05-12,6249,725,1,0,0,0,1630.0,0
777,1,2013-03-11,3396,314,1,0,0,0,8250.0,1
821,2,2015-04-28,8490,863,1,1,0,0,1700.0,0
537,4,2015-05-21,6718,682,1,1,0,0,600.0,1
1082,6,2013-04-20,5004,818,1,0,0,0,440.0,0
956,2,2014-07-15,4231,539,1,1,0,1,2330.0,1
246,7,2014-11-16,0,0,0,0,0,0,4660.0,0
795,7,2015-07-26,0,0,0,0,0,0,510.0,1
898,5,2015-06-19,7739,823,1,1,0,0,18540.0,0
100,4,2015-01-15,8042,670,1,1,0,0,17930.0,0
164,3,2013-11-20,6014,616,1,1,0,0,1160.0,1
61,3,2014-07-30,5601,616,1,1,0,0,350.0,1
977,1,2015-06-22,3931,445,1,0,0,0,520.0,1
106,4,2014-08-07,8547,795,1,1,0,1,1390.0,0
1062,6,2013-06-01,5982,599,1,0,0,0,190.0,1
506,4,2015-03-19,7194,809,1,1,0,0,1850.0,1
1008,7,2014-09-14,0,0,0,0,0,0,30.0,0
922,2,2014-04-08,0,0,0,0,0,0,2110.0,0
16,6,2013-02-09,4832,536,1,0,0,0,3270.0,0
197,4,2013-05-30,7723,849,1,1,0,0,4210.0,0
1089,1,2015-04-13,14407,1279,1,1,0,0,5220.0,0
959,6,2014-10-11,3102,389,1,0,0,0,1060.0,0
593,5,2015-03-27,8221,1136,1,0,0,0,33060.0,0
1029,2,2014-09-30,7852,1005,1,1,0,0,1590.0,0
764,6,2013-05-18,1551,185,1,0,0,0,26490.0,1
762,1,2015-02-16,6417,554,1,1,0,0,1280.0,1
822,1,2014-08-11,7492,623,1,0,0,1,410.0,1
998,1,2013-10-28,3765,534,1,0,0,1,780.0,1
278,2,2014-07-29,8055,804,1,1,0,1,9260.0,0
918,4,2013-06-13,4655,557,1,0,0,0,18710.0,0
884,6,2013-07-27,4272,430,1,0,0,0,7550.0,0
842,7,2013-06-30,0,0,0,0,0,0,1200.0,0
274,7,2013-10-13,5776,1316,1,0,0,0,3640.0,1
38,6,2015-02-07,6155,610,1,0,0,0,1090.0,0
490,2,2014-05-20,8723,1096,1,1,0,0,660.0,1
227,6,2014-06-14,4074,394,1,0,0,0,2370.0,0
590,1,2013-10-14,4769,372,1,0,0,0,4520.0,1
1005,6,2013-07-06,4943,847,1,0,0,0,6480.0,0
322,4,2013-09-19,4302,580,1,0,0,0,17500.0,1
656,3,2014-12-17,3692,373,1,1,0,0,410.0,1
697,7,2013-04-14,0,0,0,0,0,0,3780.0,1
1005,1,2014-10-20,7644,1068,1,1,0,0,6480.0,0
1108,3,2015-02-18,6187,587,1,1,0,1,540.0,0
909,5,2013-12-06,11729,1070,1,1,0,0,1680.0,1
604,3,2015-02-04,8000,573,1,1,0,0,10950.0,0
217,4,2014-11-20,3849,565,1,0,0,0,3150.0,0
281,3,2013-01-30,4431,449,1,0,0,0,6970.0,0
677,2,2013-06-25,5573,510,1,0,0,0,1740.0,1
378,4,2015-05-07,7424,1121,1,1,0,0,2140.0,0
540,5,2013-07-19,4564,348,1,1,0,0,810.0,1
335,6,2013-06-15,7788,1616,1,0,0,0,90.0,1
951,5,2013-09-27,8881,774,1,1,0,0,710.0,1
1036,3,2015-07-29,5252,450,1,1,0,1,9560.0,1
860,6,2013-08-03,6237,770,1,0,0,0,5980.0,0
734,6,2014-07-26,2930,298,1,0,0,0,220.0,1
133,3,2015-06-24,5220,579,1,0,0,0,270.0,1
42,2,2015-05-12,9237,1095,1,0,0,0,290.0,1
574,7,2014-02-02,0,0,0,0,0,0,4400.0,0
861,6,2013-12-21,4491,674,1,0,0,0,740.0,1
575,1,2015-02-16,10765,799,1,1,0,1,960.0,1
324,3,2013-10-16,4435,651,1,0,0,0,13140.0,1
216,6,2015-07-18,5990,722,1,0,0,0,190.0,1
360,4,2014-11-20,5736,682,1,0,0,0,2040.0,0
645,5,2014-07-04,8726,1122,1,1,0,0,90.0,1
732,5,2013-01-11,3861,442,1,1,0,0,35280.0,0
913,4,2015-03-12,6092,921,1,0,0,0,280.0,0
263,6,2013-09-14,4616,428,1,0,0,0,1140.0,1
527,7,2014-07-27,0,0,0,0,0,0,5830.0,0
758,6,2013-10-26,2635,394,1,0,0,0,19780.0,0
821,1,2013-07-01,12620,1273,1,1,0,1,1700.0,0
28,4,2013-04-25,5446,598,1,1,0,0,1200.0,1
390,7,2014-07-13,0,0,0,0,0,0,1600.0,0
243,1,2014-05-19,10144,1173,1,1,0,0,310.0,1
1068,7,2013-06-23,0,0,0,0,0,0,5010.0,1
465,1,2014-01-27,4414,409,1,0,0,0,10890.0,0
1063,2,2014-07-29,3900,460,1,1,0,1,6250.0,0
151,2,2013-06-11,5105,558,1,0,0,0,4360.0,0
965,7,2015-02-22,0,0,0,0,0,0,110.0,0
809,2,2014-03-04,15411,1114,1,1,0,0,12770.0,0
488,1,2013-01-14,2884,324,1,0,0,0,2890.0,0
614,3,2014-03-26,5404,882,1,0,0,0,1160.0,0
1028,4,2014-09-25,3159,416,1,0,0,0,150.0,1
790,2,2013-12-17,11490,919,1,1,0,0,9070.0,0
401,7,2015-03-08,0,0,0,0,0,0,9200.0,1
1005,5,2014-03-28,5544,861,1,0,0,0,6480.0,0
695,6,2015-03-07,2786,280,1,0,0,0,550.0,1
135,7,2013-03-24,0,0,0,0,0,0,5190.0,1
239,1,2014-09-01,8485,694,1,1,0,0,610.0,0
1078,5,2015-02-20,7415,581,1,1,0,0,670.0,1
483,6,2015-06-13,1619,218,1,0,0,0,2310.0,1
289,5,2014-04-25,5369,522,1,0,0,1,6540.0,0
363,6,2015-04-11,6104,822,1,0,0,0,250.0,0
131,3,2014-03-26,3357,397,1,0,0,0,920.0,0
346,4,2013-06-06,5858,598,1,1,0,0,8090.0,0
1115,1,2014-11-10,7704,522,1,1,0,0,5350.0,1
840,1,2013-07-29,10515,1364,1,1,0,1,1070.0,0
846,1,2014-02-24,6583,769,1,0,0,0,8860.0,1
234,5,2015-05-29,12649,1051,1,0,0,0,4370.0,0
490,6,2015-06-20,8525,1145,1,0,0,0,660.0,1
178,7,2014-04-27,0,0,0,0,0,0,1710.0,0
811,4,2014-02-06,4383,700,1,1,0,0,410.0,0
702,3,2014-01-08,5908,446,1,1,0,0,8550.0,1
826,2,2014-04-08,7726,708,1,0,0,0,7980.0,0
713,6,2014-02-08,9414,1279,1,0,0,0,220.0,1
212,7,2014-08-31,0,0,0,0,0,0,15050.0,0
95,7,2013-02-24,0,0,0,0,0,0,1890.0,0
726,3,2015-07-15,12973,1093,1,1,0,1,40540.0,0
886,2,2013-10-29,4537,544,1,0,0,1,12430.0,0
152,2,2013-08-20,3912,510,1,0,0,1,1780.0,0
829,3,2013-10-09,5947,789,1,1,0,0,110.0,0
357,1,2014-07-21,5796,858,1,0,0,1,2060.0,0
819,3,2013-06-26,4793,458,1,0,0,1,720.0,0
743,5,2014-07-25,3612,438,1,0,0,1,6710.0,1
80,7,2015-03-22,0,0,0,0,0,0,7910.0,0
391,6,2013-05-18,3011,387,1,0,0,0,460.0,1
727,1,2014-02-10,4287,503,1,0,0,0,2050.0,0
295,6,2015-07-04,5445,764,1,0,0,0,210.0,1
1110,1,2014-11-10,5545,594,1,1,0,0,900.0,0
497,5,2014-11-14,10178,1251,1,1,0,0,1610.0,0
791,2,2013-04-23,7137,764,1,1,0,0,5950.0,0
37,6,2014-08-23,6725,825,1,0,0,0,4230.0,0
368,1,2015-05-18,15685,959,1,1,0,0,1450.0,1
715,4,2014-07-17,7162,748,1,1,0,0,14810.0,0
375,1,2014-08-25,6966,676,1,0,0,1,15710.0,1
896,6,2014-11-29,11221,1595,1,0,0,0,170.0,0
1076,2,2013-06-25,2700,451,1,0,0,0,90.0,1
269,2,2013-07-30,12499,1590,1,1,0,1,60.0,0
31,6,2013-03-23,5961,594,1,0,0,0,9800.0,0
498,3,2015-03-04,7043,857,1,1,0,0,990.0,1
337,2,2013-11-19,5191,383,1,1,0,0,10600.0,1
155,3,2013-10-30,5400,559,1,0,0,1,3050.0,1
741,6,2014-07-05,6540,825,1,0,0,0,11900.0,0
484,6,2013-07-06,8791,782,1,0,0,0,14300.0,0
794,5,2015-04-17,3623,560,1,1,0,0,5090.0,0
303,2,2014-06-03,7953,834,1,1,0,0,15430.0,1
565,2,2014-04-01,8017,877,1,1,0,0,160.0,0
604,1,2014-01-27,6323,522,1,0,0,0,10950.0,0
274,4,2015-03-12,3515,948,1,0,0,0,3640.0,1
66,5,2014-05-09,6964,632,1,1,0,0,7660.0,1
220,2,2013-09-03,5445,604,1,0,0,1,1000.0,0
391,2,2013-06-25,4600,661,1,0,0,0,460.0,1
729,4,2013-11-21,9765,1011,1,1,0,0,8980.0,0
758,6,2014-04-19,4477,549,1,0,0,0,19780.0,0
285,1,2015-01-12,5790,520,1,1,0,0,2410.0,0
227,7,2015-06-21,0,0,0,0,0,0,2370.0,0
457,6,2015-04-18,5626,557,1,0,0,0,13140.0,1
84,4,2013-10-10,12697,1366,1,1,0,0,11810.0,0
923,3,2015-03-04,6284,710,1,1,0,0,280.0,0
949,5,2014-11-28,7228,559,1,1,0,0,870.0,0
695,3,2015-06-10,4246,415,1,0,0,0,550.0,1
1038,7,2014-04-20,0,0,0,0,0,0,17290.0,0
905,6,2013-11-02,10249,1465,1,0,0,0,90.0,0
312,1,2013-11-18,9172,744,1,1,0,0,11300.0,0
590,1,2014-07-21,4585,394,1,0,0,0,4520.0,1
10,2,2013-06-11,4739,588,1,0,0,0,3160.0,0
815,5,2015-03-06,6835,660,1,1,0,0,590.0,1
89,1,2015-03-16,8783,802,1,1,0,0,2380.0,1
125,4,2014-07-24,9337,1308,1,0,0,1,760.0,0
41,7,2013-11-10,0,0,0,0,0,0,1180.0,1
116,1,2014-02-17,10469,961,1,1,0,0,680.0,0
185,2,2013-04-23,7565,569,1,1,0,0,1860.0,0
788,6,2014-12-06,17754,1502,1,0,0,0,1530.0,0
608,6,2014-10-25,4839,474,1,0,0,0,18370.0,1
359,6,2014-08-02,7044,642,1,0,0,0,4370.0,0
849,7,2014-05-11,0,0,0,0,0,0,5000.0,0
700,3,2013-11-20,5061,598,1,1,0,0,830.0,1
241,6,2013-07-20,5831,667,1,0,0,0,780.0,0
696,2,2014-12-23,14233,1573,1,0,0,1,430.0,0
584,3,2013-01-23,4617,413,1,1,0,0,1360.0,1
870,2,2013-11-26,7030,903,1,0,0,0,780.0,0
237,1,2015-02-23,5174,598,1,0,0,0,1420.0,0
8,3,2015-07-01,8523,895,1,1,0,0,7520.0,0
1061,7,2013-11-10,0,0,0,0,0,0,8110.0,0
762,2,2013-04-09,3225,330,1,1,0,0,1280.0,1
674,1,2013-11-25,6611,955,1,0,0,0,2640.0,1
601,4,2014-10-30,4133,343,1,0,0,1,8220.0,1
481,3,2013-12-11,4601,471,1,0,0,0,7470.0,1
347,1,2013-06-03,6118,436,1,1,0,0,9360.0,1
759,4,2015-03-26,5078,602,1,0,0,0,110.0,1
995,1,2013-04-01,0,0,0,0,2,1,6560.0,0
456,4,2013-10-17,4265,702,1,0,0,0,140.0,0
761,7,2014-04-06,0,0,0,0,0,0,2390.0,0
525,4,2013-03-28,14466,1146,1,1,0,1,1870.0,0
556,7,2015-04-19,0,0,0,0,0,0,1140.0,0
830,7,2013-09-08,0,0,0,0,0,0,6320.0,1
929,4,2014-02-20,5195,712,1,1,0,0,4820.0,0
287,1,2013-05-06,8047,834,1,0,0,0,2740.0,1
362,3,2013-07-17,9460,1036,1,1,0,1,340.0,0
56,3,2014-10-15,5737,426,1,0,0,0,6620.0,1
720,3,2015-05-13,7956,818,1,0,0,0,15320.0,1
834,2,2013-08-06,4295,540,1,0,0,0,3470.0,0
538,4,2014-06-05,3975,565,1,1,0,0,990.0,0
852,3,2013-07-17,4916,558,1,1,0,1,940.0,1
80,3,2015-07-29,8388,575,1,1,0,1,7910.0,0
150,6,2014-08-30,9502,958,1,0,0,0,31830.0,0
70,4,2014-06-19,6552,689,1,1,0,0,4840.0,0
586,6,2015-07-11,16063,3248,1,0,0,0,250.0,0
852,1,2014-09-08,3883,595,1,0,0,0,940.0,1
599,4,2015-07-09,8310,759,1,0,0,0,580.0,0
386,4,2013-06-27,6197,543,1,0,0,0,1460.0,1
478,5,2014-07-11,6639,711,1,0,0,1,1940.0,0
351,7,2014-04-13,0,0,0,0,0,0,5290.0,1
1059,1,2013-10-14,6798,1102,1,0,0,0,3380.0,0
571,2,2014-04-01,7472,563,1,1,0,0,2110.0,1
1058,2,2014-02-11,5936,705,1,0,0,0,180.0,1
316,4,2015-07-30,10450,905,1,1,0,1,9000.0,0
617,3,2013-12-25,0,0,0,0,3,1,8940.0,1
506,7,2013-02-17,0,0,0,0,0,0,1850.0,1
874,5,2015-02-06,5462,590,1,1,0,0,3210.0,0
1110,5,2013-08-30,7081,707,1,1,0,0,900.0,0
221,6,2015-05-02,8405,783,1,0,0,0,13530.0,0
990,7,2014-11-02,0,0,0,0,0,0,20930.0,0
688,5,2014-01-31,3473,419,1,0,0,0,18760.0,1
375,2,2013-06-11,7630,765,1,0,0,0,15710.0,1
797,3,2013-09-18,2343,269,1,0,0,0,2090.0,1
617,4,2013-03-14,5780,537,1,0,0,0,8940.0,1
268,4,2015-06-04,5546,618,1,1,0,0,4520.0,0
643,3,2015-02-04,8403,1016,1,1,0,0,230.0,1
212,2,2015-04-28,5685,492,1,1,0,0,15050.0,0
931,7,2014-10-05,1401,190,1,0,0,0,1480.0,1
1095,7,2014-11-23,0,0,0,0,0,0,690.0,1
1052,3,2014-09-03,7561,765,1,1,0,0,5080.0,1
700,7,2014-03-23,0,0,0,0,0,0,830.0,1
642,7,2014-08-17,0,0,0,0,0,0,530.0,1
349,6,2014-01-18,7238,722,1,0,0,0,1490.0,0
105,1,2013-01-07,2714,416,1,1,0,0,6190.0,1
956,2,2014-09-02,5007,641,1,1,0,0,2330.0,1
563,1,2014-11-03,8769,952,1,1,0,0,700.0,1
508,3,2013-06-19,5512,501,1,1,0,0,1280.0,1
18,7,2013-09-29,0,0,0,0,0,0,13840.0,1
156,7,2014-08-10,0,0,0,0,0,0,2020.0,1
931,6,2015-02-21,1598,214,1,0,0,0,1480.0,1
24,5,2014-07-11,7930,744,1,0,0,1,4590.0,1
610,7,2013-02-10,0,0,0,0,0,0,660.0,0
513,4,2015-07-16,19770,2127,1,1,0,1,400.0,0
38,7,2014-03-16,0,0,0,0,0,0,1090.0,0
127,6,2015-07-11,4841,711,1,0,0,0,1350.0,1
81,7,2015-04-19,0,0,0,0,0,0,2370.0,1
135,1,2015-02-09,5043,486,1,0,0,0,5190.0,1
852,7,2015-04-26,0,0,0,0,0,0,940.0,1
978,2,2013-01-01,0,0,0,0,1,1,3890.0,0
229,3,2014-03-26,6402,591,1,0,0,0,17410.0,1
941,4,2013-07-25,3965,528,1,0,0,0,1200.0,1
609,6,2014-11-15,2614,275,1,0,0,0,2070.0,0
786,5,2015-01-30,4659,668,1,1,0,0,290.0,1
156,5,2013-07-26,5223,613,1,0,0,1,2020.0,1
645,1,2014-09-01,14191,1552,1,1,0,1,90.0,1
984,7,2014-10-19,0,0,0,0,0,0,440.0,1
823,7,2013-08-11,0,0,0,0,0,0,16210.0,0
452,3,2014-11-26,5815,500,1,1,0,0,1850.0,1
932,7,2013-03-17,0,0,0,0,0,0,15700.0,1
444,1,2015-05-25,0,0,0,0,1,0,1700.0,0
314,5,2015-06-26,4759,527,1,0,0,0,3560.0,1
427,1,2015-01-26,10844,968,1,1,0,0,70.0,1
497,1,2015-01-19,7929,1035,1,0,0,0,1610.0,0
537,2,2014-07-01,6207,684,1,1,0,0,600.0,1
972,2,2015-02-17,4186,415,1,1,0,0,14960.0,0
170,4,2014-10-16,3559,453,1,0,0,1,1070.0,1
184,1,2014-07-28,8140,658,1,1,0,1,3560.0,0
795,4,2014-05-01,0,0,0,1,1,0,510.0,1
760,4,2014-07-10,8119,1466,1,0,0,1,560.0,0
34,7,2014-04-13,0,0,0,0,0,0,2240.0,0
661,4,2015-07-02,8735,621,1,1,0,0,2140.0,0
237,1,2015-01-05,5825,714,1,1,0,0,1420.0,0
784,2,2014-08-12,6994,845,1,0,0,1,560.0,1
22,7,2015-01-11,0,0,0,0,0,0,1040.0,1
80,1,2014-07-14,8737,645,1,1,0,0,7910.0,0
27,2,2013-02-12,7192,965,1,0,0,0,60.0,1
624,1,2015-01-05,10784,898,1,1,0,1,6920.0,0
904,5,2015-05-29,4329,403,1,0,0,1,570.0,1
917,5,2014-05-16,6635,855,1,0,0,0,7240.0,0
1017,3,2013-05-01,0,0,0,1,1,0,110.0,0
905,3,2015-06-03,8882,1242,1,1,0,0,90.0,0
886,3,2014-12-17,8961,735,1,1,0,0,12430.0,0
979,2,2013-05-21,5722,661,1,0,0,0,2270.0,1
499,1,2014-08-18,6603,826,1,1,0,1,450.0,1
851,7,2014-01-05,0,0,0,0,0,0,2330.0,1
1099,3,2014-02-19,6598,775,1,1,0,0,200.0,1
927,3,2015-03-11,5133,770,1,0,0,0,480.0,0
931,4,2014-02-20,4178,475,1,1,0,0,1480.0,1
669,1,2015-03-02,5488,402,1,1,0,0,17080.0,1
786,1,2013-07-15,6188,827,1,1,0,1,290.0,1
689,2,2015-03-03,7253,744,1,1,0,0,15040.0,0
998,4,2015-04-23,3830,475,1,0,0,0,780.0,1
581,4,2014-10-16,4317,572,1,0,0,0,7250.0,0
89,5,2015-03-13,5791,626,1,0,0,0,2380.0,1
1038,7,2015-06-07,0,0,0,0,0,0,17290.0,0
947,5,2014-05-16,7022,1009,1,0,0,0,460.0,1
817,1,2013-03-11,22310,3307,1,0,0,0,140.0,0
416,7,2014-04-20,0,0,0,0,0,0,4650.0,0
172,6,2013-07-13,6559,769,1,0,0,0,110.0,1
408,7,2013-05-12,0,0,0,0,0,0,1560.0,1
907,2,2013-08-06,5127,776,1,0,0,1,250.0,0
398,4,2015-07-09,4241,540,1,0,0,0,1540.0,1
665,2,2014-05-20,9742,1449,1,1,0,0,90.0,1
645,6,2013-12-28,8953,1269,1,0,0,0,90.0,1
382,2,2013-04-02,6269,598,1,0,0,0,26130.0,0
145,5,2015-05-29,7842,1077,1,0,0,1,280.0,1
786,5,2014-01-24,3679,551,1,1,0,0,290.0,1
927,4,2015-06-04,0,0,0,1,1,0,480.0,0
584,7,2013-02-24,0,0,0,0,0,0,1360.0,1
439,1,2013-11-04,10647,1139,1,1,0,0,1350.0,0
963,6,2014-08-02,4037,390,1,0,0,0,23620.0,0
644,4,2013-11-14,7108,826,1,0,0,0,4030.0,1
772,3,2015-07-01,4805,556,1,1,0,0,1850.0,0
1087,3,2015-07-22,5104,517,1,0,0,0,2210.0,0
340,4,2015-01-08,5480,608,1,1,0,0,8080.0,0
82,4,2014-03-20,8916,861,1,1,0,0,22390.0,1
1014,4,2015-02-26,11852,1320,1,0,0,0,210.0,1
180,4,2013-04-11,7675,871,1,1,0,0,5800.0,0
1036,5,2013-02-22,4853,484,1,1,0,0,9560.0,1
90,2,2013-02-19,8649,1007,1,1,0,0,330.0,0
771,1,2013-07-01,8647,866,1,1,0,0,20640.0,0
136,1,2013-02-11,3495,303,1,0,0,1,2200.0,1
701,3,2013-09-18,3228,446,1,0,0,0,1450.0,1
448,2,2014-02-04,11226,919,1,1,0,0,3970.0,0
179,5,2014-08-01,8923,1111,1,1,0,1,480.0,0
730,5,2014-08-22,7733,997,1,1,0,1,1190.0,0
684,4,2013-10-17,5100,442,1,0,0,0,680.0,1
994,7,2014-03-02,0,0,0,0,0,0,2290.0,1
793,2,2013-10-29,3074,337,1,0,0,1,2710.0,0
558,4,2014-02-06,3883,523,1,1,0,0,3000.0,0
397,6,2014-03-08,4303,625,1,0,0,0,130.0,1
168,5,2014-03-21,7306,737,1,1,0,0,12540.0,0
412,7,2014-06-15,0,0,0,0,0,0,4460.0,1
860,4,2014-04-10,4290,582,1,0,0,0,5980.0,0
209,6,2013-01-05,3964,423,1,0,0,0,11680.0,1
628,5,2013-02-15,4759,683,1,0,0,0,2180.0,0
191,2,2014-02-04,7244,731,1,1,0,0,1100.0,1
816,1,2014-03-10,4228,688,1,0,0,0,460.0,0
505,1,2014-09-01,6924,689,1,1,0,1,350.0,1
282,7,2013-04-07,0,0,0,0,0,0,1220.0,0
240,6,2013-03-23,3696,337,1,0,0,0,1110.0,0
330,6,2015-04-18,4440,450,1,0,0,0,370.0,1
446,2,2014-05-06,6521,763,1,1,0,0,340.0,1
768,6,2014-05-31,11349,1268,1,0,0,0,2630.0,0
340,3,2014-03-12,5232,631,1,0,0,0,8080.0,0
76,2,2013-05-07,7452,821,1,0,0,0,19960.0,0
343,7,2013-04-21,0,0,0,0,0,0,18650.0,1
986,6,2014-11-01,0,0,0,0,1,0,620.0,1
666,7,2013-03-17,0,0,0,0,0,0,2700.0,1
741,2,2014-09-02,9347,1035,1,1,0,1,11900.0,0
353,3,2013-01-16,3225,1025,1,0,0,0,900.0,1
403,7,2015-02-15,0,0,0,0,0,0,4970.0,0
396,6,2014-05-10,5720,617,1,0,0,0,23130.0,0
485,4,2015-02-26,3247,331,1,0,0,0,3270.0,1
3,4,2014-10-23,7177,788,1,1,0,0,14130.0,1
1088,5,2014-09-05,6003,551,1,1,0,0,4300.0,1
47,4,2013-02-14,5656,894,1,0,0,0,270.0,1
471,7,2013-06-30,0,0,0,0,0,0,5300.0,1
964,4,2015-01-15,9859,1300,1,1,0,0,270.0,1
257,5,2013-10-04,5990,724,1,0,0,1,420.0,0
721,5,2013-06-21,9305,880,1,1,0,0,3590.0,1
166,5,2013-09-06,3936,614,1,0,0,0,100.0,1
552,5,2013-01-18,5769,581,1,0,0,0,4260.0,1
540,1,2015-07-06,5870,411,1,0,0,0,810.0,1
571,3,2013-04-10,6547,492,1,1,0,0,2110.0,1
410,6,2014-05-31,6442,846,1,0,0,0,40.0,1
613,7,2013-02-17,0,0,0,0,0,0,250.0,1
223,5,2013-08-23,5859,759,1,0,0,1,2920.0,1
565,6,2014-01-04,5095,700,1,0,0,0,160.0,0
868,4,2015-01-08,8970,575,1,1,0,1,1360.0,1
224,5,2014-08-29,5571,431,1,0,0,1,7930.0,1
537,1,2014-07-21,4916,606,1,0,0,0,600.0,1
502,4,2013-12-19,17630,2160,1,1,0,0,220.0,1
337,3,2014-06-25,3398,280,1,0,0,0,10600.0,1
456,2,2013-11-12,5261,802,1,0,0,0,140.0,0
169,7,2014-06-15,0,0,0,0,0,0,980.0,1
987,5,2014-01-03,7121,949,1,0,0,1,1690.0,0
411,7,2014-12-28,0,0,0,0,0,1,8460.0,0
594,4,2013-01-10,3751,416,1,1,0,0,1790.0,0
748,1,2014-09-08,4314,397,1,0,0,0,2380.0,1
828,3,2013-05-15,4874,547,1,1,0,1,3290.0,0
176,3,2015-01-28,5655,612,1,1,0,0,3770.0,0
501,4,2013-03-14,4638,550,1,0,0,0,1620.0,0
822,1,2013-02-04,11146,850,1,1,0,0,410.0,1
169,2,2014-03-18,8644,783,1,1,0,0,980.0,1
57,2,2013-02-19,10899,969,1,1,0,0,420.0,0
121,3,2015-03-04,5434,535,1,1,0,0,3570.0,1
664,6,2014-09-27,3428,443,1,0,0,0,1680.0,0
398,1,2014-08-25,6468,765,1,0,0,0,1540.0,1
65,7,2014-08-17,0,0,0,0,0,0,13840.0,1
130,4,2014-12-25,0,0,0,0,3,1,900.0,1
649,7,2014-12-21,0,0,0,0,0,0,14570.0,0
150,6,2014-06-14,7753,762,1,0,0,0,31830.0,0
190,1,2013-07-29,10210,776,1,1,0,0,1470.0,1
755,1,2014-01-20,12634,969,1,1,0,0,13130.0,0
321,3,2014-02-26,3568,416,1,0,0,1,8140.0,1
315,5,2015-07-31,5959,553,1,1,0,1,38710.0,0
736,5,2014-01-31,5121,494,1,0,0,0,1650.0,1
683,4,2013-04-04,9330,902,1,0,0,1,2850.0,0
685,1,2014-03-31,10839,871,1,1,0,0,650.0,1
