Store,DayOfWeek,Month,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Promo2,CompetitionDistance_binned
1082,6,4,5004,818,1,0,0,0,0,"(435,445]"
956,2,7,4231,539,1,1,0,1,1,"(2325,2335]"
246,7,11,0,0,0,0,0,0,0,"(4655,4690]"
795,7,7,0,0,0,0,0,0,1,"(505,515]"
898,5,6,7739,823,1,1,0,0,0,"(18265,18575]"
100,4,1,8042,670,1,1,0,0,0,"(17610,18015]"
164,3,11,6014,616,1,1,0,0,1,"(1155,1165]"
61,3,7,5601,616,1,1,0,0,1,"(345,355]"
977,1,6,3931,445,1,0,0,0,1,"(515,525]"
106,4,8,8547,795,1,1,0,1,0,"(1380,1395]"
1062,6,6,5982,599,1,0,0,0,1,"(185,195]"
506,4,3,7194,809,1,1,0,0,1,"(1845,1855]"
1008,7,9,0,0,0,0,0,0,0,"(25,35]"
922,2,4,0,0,0,0,0,0,0,"(2105,2125]"
16,6,2,4832,536,1,0,0,0,0,"(3260,3280]"
197,4,5,7723,849,1,1,0,0,0,"(4170,4220]"
1089,1,4,14407,1279,1,1,0,0,0,"(5170,5240]"
959,6,10,3102,389,1,0,0,0,0,"(1050,1065]"
593,5,3,8221,1136,1,0,0,0,0,"(32695,33555]"
1029,2,9,7852,1005,1,1,0,0,0,"(1575,1595]"
764,6,5,1551,185,1,0,0,0,1,"(26470,26740]"
762,1,2,6417,554,1,1,0,0,1,"(1275,1285]"
822,1,8,7492,623,1,0,0,1,1,"(405,415]"
998,1,10,3765,534,1,0,0,1,1,"(775,790]"
278,2,7,8055,804,1,1,0,1,0,"(9245,9310]"
918,4,6,4655,557,1,0,0,0,0,"(18690,18735]"
884,6,7,4272,430,1,0,0,0,0,"(7535,7605]"
842,7,6,0,0,0,0,0,0,0,"(1195,1205]"
274,7,10,5776,1316,1,0,0,0,1,"(3630,3670]"
38,6,2,6155,610,1,0,0,0,0,"(1085,1095]"
490,2,5,8723,1096,1,1,0,0,1,"(655,665]"
227,6,6,4074,394,1,0,0,0,0,"(2355,2375]"
590,1,10,4769,372,1,0,0,0,1,"(4515,4545]"
1005,6,7,4943,847,1,0,0,0,0,"(6475,6510]"
322,4,9,4302,580,1,0,0,0,1,"(17375,17520]"
656,3,12,3692,373,1,1,0,0,1,"(405,415]"
697,7,4,0,0,0,0,0,0,1,"(3775,3815]"
1005,1,10,7644,1068,1,1,0,0,0,"(6475,6510]"
1108,3,2,6187,587,1,1,0,1,0,"(535,545]"
909,5,12,11729,1070,1,1,0,0,1,"(1660,1685]"
604,3,2,8000,573,1,1,0,0,0,"(10920,11035]"
217,4,11,3849,565,1,0,0,0,0,"(3145,3185]"
281,3,1,4431,449,1,0,0,0,0,"(6950,7065]"
677,2,6,5573,510,1,0,0,0,1,"(1735,1785]"
378,4,5,7424,1121,1,1,0,0,0,"(2125,2155]"
540,5,7,4564,348,1,1,0,0,1,"(805,825]"
335,6,6,7788,1616,1,0,0,0,1,"(85,95]"
951,5,9,8881,774,1,1,0,0,1,"(705,715]"
1036,3,7,5252,450,1,1,0,1,1,"(9495,9570]"
860,6,8,6237,770,1,0,0,0,0,"(5965,6085]"
734,6,7,2930,298,1,0,0,0,1,"(215,225]"
133,3,6,5220,579,1,0,0,0,1,"(265,275]"
42,2,5,9237,1095,1,0,0,0,1,"(285,295]"
574,7,2,0,0,0,0,0,0,0,"(4390,4435]"
861,6,12,4491,674,1,0,0,0,1,"(735,750]"
575,1,2,10765,799,1,1,0,1,1,"(950,965]"
324,3,10,4435,651,1,0,0,0,1,"(13135,13155]"
216,6,7,5990,722,1,0,0,0,1,"(185,195]"
360,4,11,5736,682,1,0,0,0,0,"(2025,2045]"
645,5,7,8726,1122,1,1,0,0,1,"(85,95]"
732,5,1,3861,442,1,1,0,0,0,"(34665,37520]"
913,4,3,6092,921,1,0,0,0,0,"(275,285]"
263,6,9,4616,428,1,0,0,0,1,"(1135,1145]"
527,7,7,0,0,0,0,0,0,0,"(5815,5835]"
758,6,10,2635,394,1,0,0,0,0,"(19740,19835]"
821,1,7,12620,1273,1,1,0,1,0,"(1695,1705]"
28,4,4,5446,598,1,1,0,0,1,"(1195,1205]"
390,7,7,0,0,0,0,0,0,0,"(1595,1605]"
243,1,5,10144,1173,1,1,0,0,1,"(305,315]"
1068,7,6,0,0,0,0,0,0,1,"(4985,5015]"
465,1,1,4414,409,1,0,0,0,0,"(10770,10920]"
1063,2,7,3900,460,1,1,0,1,0,"(6085,6260]"
151,2,6,5105,558,1,0,0,0,0,"(4345,4365]"
965,7,2,0,0,0,0,0,0,0,"(105,115]"
809,2,3,15411,1114,1,1,0,0,0,"(12735,12895]"
488,1,1,2884,324,1,0,0,0,0,"(2885,2895]"
614,3,3,5404,882,1,0,0,0,0,"(1155,1165]"
1028,4,9,3159,416,1,0,0,0,1,"(145,155]"
790,2,12,11490,919,1,1,0,0,0,"(8995,9135]"
401,7,3,0,0,0,0,0,0,1,"(9135,9245]"
1005,5,3,5544,861,1,0,0,0,0,"(6475,6510]"
695,6,3,2786,280,1,0,0,0,1,"(545,555]"
135,7,3,0,0,0,0,0,0,1,"(5170,5240]"
239,1,9,8485,694,1,1,0,0,0,"(605,615]"
1078,5,2,7415,581,1,1,0,0,1,"(665,675]"
483,6,6,1619,218,1,0,0,0,1,"(2305,2325]"
289,5,4,5369,522,1,0,0,1,0,"(6510,6590]"
363,6,4,6104,822,1,0,0,0,0,"(245,255]"
131,3,3,3357,397,1,0,0,0,0,"(915,930]"
346,4,6,5858,598,1,1,0,0,0,"(8085,8125]"
1115,1,11,7704,522,1,1,0,0,1,"(5345,5370]"
840,1,7,10515,1364,1,1,0,1,0,"(1065,1075]"
846,1,2,6583,769,1,0,0,0,1,"(8820,8870]"
234,5,5,12649,1051,1,0,0,0,0,"(4365,4375]"
490,6,6,8525,1145,1,0,0,0,1,"(655,665]"
178,7,4,0,0,0,0,0,0,0,"(1705,1720]"
811,4,2,4383,700,1,1,0,0,0,"(405,415]"
702,3,1,5908,446,1,1,0,0,1,"(8545,8600]"
826,2,4,7726,708,1,0,0,0,0,"(7955,8010]"
713,6,2,9414,1279,1,0,0,0,1,"(215,225]"
212,7,8,0,0,0,0,0,0,0,"(15045,15155]"
95,7,2,0,0,0,0,0,0,0,"(1885,1905]"
726,3,7,12973,1093,1,1,0,1,0,"(37520,40700]"
886,2,10,4537,544,1,0,0,1,0,"(11825,12455]"
152,2,8,3912,510,1,0,0,1,0,"(1735,1785]"
829,3,10,5947,789,1,1,0,0,0,"(105,115]"
357,1,7,5796,858,1,0,0,1,0,"(2055,2065]"
819,3,6,4793,458,1,0,0,1,0,"(715,725]"
743,5,7,3612,438,1,0,0,1,1,"(6700,6865]"
80,7,3,0,0,0,0,0,0,0,"(7845,7920]"
391,6,5,3011,387,1,0,0,0,1,"(455,465]"
727,1,2,4287,503,1,0,0,0,0,"(2045,2055]"
295,6,7,5445,764,1,0,0,0,1,"(205,215]"
1110,1,11,5545,594,1,1,0,0,0,"(885,905]"
497,5,11,10178,1251,1,1,0,0,0,"(1605,1615]"
791,2,4,7137,764,1,1,0,0,0,"(5925,5965]"
37,6,8,6725,825,1,0,0,0,0,"(4220,4245]"
368,1,5,15685,959,1,1,0,0,1,"(1440,1455]"
715,4,7,7162,748,1,1,0,0,0,"(14715,14885]"
375,1,8,6966,676,1,0,0,1,1,"(15705,15715]"
896,6,11,11221,1595,1,0,0,0,0,"(165,175]"
1076,2,6,2700,451,1,0,0,0,1,"(85,95]"
269,2,7,12499,1590,1,1,0,1,0,"(55,65]"
31,6,3,5961,594,1,0,0,0,0,"(9780,9810]"
498,3,3,7043,857,1,1,0,0,1,"(985,995]"
337,2,11,5191,383,1,1,0,0,1,"(10585,10610]"
155,3,10,5400,559,1,0,0,1,1,"(3045,3075]"
741,6,7,6540,825,1,0,0,0,0,"(11825,12455]"
484,6,7,8791,782,1,0,0,0,0,"(14230,14435]"
794,5,4,3623,560,1,1,0,0,0,"(5075,5145]"
303,2,6,7953,834,1,1,0,0,1,"(15385,15595]"
565,2,4,8017,877,1,1,0,0,0,"(155,165]"
604,1,1,6323,522,1,0,0,0,0,"(10920,11035]"
274,4,3,3515,948,1,0,0,0,1,"(3630,3670]"
66,5,5,6964,632,1,1,0,0,1,"(7605,7670]"
220,2,9,5445,604,1,0,0,1,0,"(995,1005]"
391,2,6,4600,661,1,0,0,0,1,"(455,465]"
729,4,11,9765,1011,1,1,0,0,0,"(8975,8985]"
758,6,4,4477,549,1,0,0,0,0,"(19740,19835]"
285,1,1,5790,520,1,1,0,0,0,"(2400,2425]"
227,7,6,0,0,0,0,0,0,0,"(2355,2375]"
457,6,4,5626,557,1,0,0,0,1,"(13135,13155]"
84,4,10,12697,1366,1,1,0,0,0,"(11745,11825]"
923,3,3,6284,710,1,1,0,0,0,"(275,285]"
949,5,11,7228,559,1,1,0,0,0,"(865,885]"
695,3,6,4246,415,1,0,0,0,1,"(545,555]"
1038,7,4,0,0,0,0,0,0,0,"(17195,17315]"
905,6,11,10249,1465,1,0,0,0,0,"(85,95]"
312,1,11,9172,744,1,1,0,0,0,"(11035,11350]"
590,1,7,4585,394,1,0,0,0,1,"(4515,4545]"
10,2,6,4739,588,1,0,0,0,0,"(3145,3185]"
815,5,3,6835,660,1,1,0,0,1,"(585,595]"
89,1,3,8783,802,1,1,0,0,1,"(2375,2385]"
125,4,7,9337,1308,1,0,0,1,0,"(750,765]"
41,7,11,0,0,0,0,0,0,1,"(1175,1185]"
116,1,2,10469,961,1,1,0,0,0,"(675,685]"
185,2,4,7565,569,1,1,0,0,0,"(1855,1865]"
788,6,12,17754,1502,1,0,0,0,0,"(1525,1535]"
608,6,10,4839,474,1,0,0,0,1,"(18265,18575]"
359,6,8,7044,642,1,0,0,0,0,"(4365,4375]"
849,7,5,0,0,0,0,0,0,0,"(4985,5015]"
700,3,11,5061,598,1,1,0,0,1,"(825,835]"
241,6,7,5831,667,1,0,0,0,0,"(775,790]"
696,2,12,14233,1573,1,0,0,1,0,"(425,435]"
584,3,1,4617,413,1,1,0,0,1,"(1355,1365]"
870,2,11,7030,903,1,0,0,0,0,"(775,790]"
237,1,2,5174,598,1,0,0,0,0,"(1415,1425]"
8,3,7,8523,895,1,1,0,0,0,"(7495,7535]"
1061,7,11,0,0,0,0,0,0,0,"(8085,8125]"
762,2,4,3225,330,1,1,0,0,1,"(1275,1285]"
674,1,11,6611,955,1,0,0,0,1,"(2635,2670]"
601,4,10,4133,343,1,0,0,1,1,"(8205,8255]"
481,3,12,4601,471,1,0,0,0,1,"(7315,7495]"
347,1,6,6118,436,1,1,0,0,1,"(9310,9395]"
759,4,3,5078,602,1,0,0,0,1,"(105,115]"
995,1,4,0,0,0,0,2,1,0,"(6510,6590]"
456,4,10,4265,702,1,0,0,0,0,"(135,145]"
761,7,4,0,0,0,0,0,0,0,"(2385,2400]"
525,4,3,14466,1146,1,1,0,1,0,"(1865,1875]"
556,7,4,0,0,0,0,0,0,0,"(1135,1145]"
830,7,9,0,0,0,0,0,0,1,"(6310,6325]"
929,4,2,5195,712,1,1,0,0,0,"(4795,4830]"
287,1,5,8047,834,1,0,0,0,1,"(2730,2755]"
362,3,7,9460,1036,1,1,0,1,0,"(335,345]"
56,3,10,5737,426,1,0,0,0,1,"(6590,6625]"
720,3,5,7956,818,1,0,0,0,1,"(15295,15385]"
834,2,8,4295,540,1,0,0,0,0,"(3455,3480]"
538,4,6,3975,565,1,1,0,0,0,"(985,995]"
852,3,7,4916,558,1,1,0,1,1,"(930,950]"
80,3,7,8388,575,1,1,0,1,0,"(7845,7920]"
150,6,8,9502,958,1,0,0,0,0,"(31095,32035]"
70,4,6,6552,689,1,1,0,0,0,"(4830,4855]"
586,6,7,16063,3248,1,0,0,0,0,"(245,255]"
852,1,9,3883,595,1,0,0,0,1,"(930,950]"
599,4,7,8310,759,1,0,0,0,0,"(575,585]"
386,4,6,6197,543,1,0,0,0,1,"(1455,1465]"
478,5,7,6639,711,1,0,0,1,0,"(1925,1945]"
351,7,4,0,0,0,0,0,0,1,"(5240,5295]"
1059,1,10,6798,1102,1,0,0,0,0,"(3375,3400]"
571,2,4,7472,563,1,1,0,0,1,"(2105,2125]"
1058,2,2,5936,705,1,0,0,0,1,"(175,185]"
316,4,7,10450,905,1,1,0,1,0,"(8995,9135]"
617,3,12,0,0,0,0,3,1,1,"(8910,8975]"
506,7,2,0,0,0,0,0,0,1,"(1845,1855]"
874,5,2,5462,590,1,1,0,0,0,"(3205,3245]"
1110,5,8,7081,707,1,1,0,0,0,"(885,905]"
221,6,5,8405,783,1,0,0,0,0,"(13360,13550]"
990,7,11,0,0,0,0,0,0,0,"(20785,21170]"
688,5,1,3473,419,1,0,0,0,1,"(18735,19060]"
375,2,6,7630,765,1,0,0,0,1,"(15705,15715]"
797,3,9,2343,269,1,0,0,0,1,"(2080,2095]"
617,4,3,5780,537,1,0,0,0,1,"(8910,8975]"
268,4,6,5546,618,1,1,0,0,0,"(4515,4545]"
643,3,2,8403,1016,1,1,0,0,1,"(225,235]"
212,2,4,5685,492,1,1,0,0,0,"(15045,15155]"
931,7,10,1401,190,1,0,0,0,1,"(1475,1485]"
1095,7,11,0,0,0,0,0,0,1,"(685,695]"
1052,3,9,7561,765,1,1,0,0,1,"(5075,5145]"
700,7,3,0,0,0,0,0,0,1,"(825,835]"
642,7,8,0,0,0,0,0,0,1,"(525,535]"
349,6,1,7238,722,1,0,0,0,0,"(1485,1505]"
105,1,1,2714,416,1,1,0,0,1,"(6085,6260]"
956,2,9,5007,641,1,1,0,0,1,"(2325,2335]"
563,1,11,8769,952,1,1,0,0,1,"(695,705]"
508,3,6,5512,501,1,1,0,0,1,"(1275,1285]"
18,7,9,0,0,0,0,0,0,1,"(13795,14015]"
156,7,8,0,0,0,0,0,0,1,"(2010,2025]"
931,6,2,1598,214,1,0,0,0,1,"(1475,1485]"
24,5,7,7930,744,1,0,0,1,1,"(4585,4600]"
610,7,2,0,0,0,0,0,0,0,"(655,665]"
513,4,7,19770,2127,1,1,0,1,0,"(395,405]"
38,7,3,0,0,0,0,0,0,0,"(1085,1095]"
127,6,7,4841,711,1,0,0,0,1,"(1345,1355]"
81,7,4,0,0,0,0,0,0,1,"(2355,2375]"
135,1,2,5043,486,1,0,0,0,1,"(5170,5240]"
852,7,4,0,0,0,0,0,0,1,"(930,950]"
978,2,1,0,0,0,0,1,1,0,"(3880,3895]"
229,3,3,6402,591,1,0,0,0,1,"(17375,17520]"
941,4,7,3965,528,1,0,0,0,1,"(1195,1205]"
609,6,11,2614,275,1,0,0,0,0,"(2065,2080]"
786,5,1,4659,668,1,1,0,0,1,"(285,295]"
156,5,7,5223,613,1,0,0,1,1,"(2010,2025]"
645,1,9,14191,1552,1,1,0,1,1,"(85,95]"
984,7,10,0,0,0,0,0,0,1,"(435,445]"
823,7,8,0,0,0,0,0,0,0,"(16195,16225]"
452,3,11,5815,500,1,1,0,0,1,"(1845,1855]"
932,7,3,0,0,0,0,0,0,1,"(15595,15705]"
444,1,5,0,0,0,0,1,0,0,"(1695,1705]"
314,5,6,4759,527,1,0,0,0,1,"(3545,3565]"
427,1,1,10844,968,1,1,0,0,1,"(65,75]"
497,1,1,7929,1035,1,0,0,0,0,"(1605,1615]"
537,2,7,6207,684,1,1,0,0,1,"(595,605]"
972,2,2,4186,415,1,1,0,0,0,"(14885,15000]"
170,4,10,3559,453,1,0,0,1,1,"(1065,1075]"
184,1,7,8140,658,1,1,0,1,0,"(3545,3565]"
795,4,5,0,0,0,1,1,0,1,"(505,515]"
760,4,7,8119,1466,1,0,0,1,0,"(555,565]"
34,7,4,0,0,0,0,0,0,0,"(2235,2250]"
661,4,7,8735,621,1,1,0,0,0,"(2125,2155]"
237,1,1,5825,714,1,1,0,0,0,"(1415,1425]"
784,2,8,6994,845,1,0,0,1,1,"(555,565]"
22,7,1,0,0,0,0,0,0,1,"(1015,1050]"
80,1,7,8737,645,1,1,0,0,0,"(7845,7920]"
27,2,2,7192,965,1,0,0,0,1,"(55,65]"
624,1,1,10784,898,1,1,0,1,0,"(6895,6925]"
904,5,5,4329,403,1,0,0,1,1,"(565,575]"
917,5,5,6635,855,1,0,0,0,0,"(7175,7265]"
1017,3,5,0,0,0,1,1,0,0,"(105,115]"
905,3,6,8882,1242,1,1,0,0,0,"(85,95]"
886,3,12,8961,735,1,1,0,0,0,"(11825,12455]"
979,2,5,5722,661,1,0,0,0,1,"(2265,2275]"
499,1,8,6603,826,1,1,0,1,1,"(445,455]"
851,7,1,0,0,0,0,0,0,1,"(2325,2335]"
1099,3,2,6598,775,1,1,0,0,1,"(195,205]"
927,3,3,5133,770,1,0,0,0,0,"(475,485]"
931,4,2,4178,475,1,1,0,0,1,"(1475,1485]"
669,1,3,5488,402,1,1,0,0,1,"(16980,17195]"
786,1,7,6188,827,1,1,0,1,1,"(285,295]"
689,2,3,7253,744,1,1,0,0,0,"(15000,15045]"
998,4,4,3830,475,1,0,0,0,1,"(775,790]"
581,4,10,4317,572,1,0,0,0,0,"(7175,7265]"
89,5,3,5791,626,1,0,0,0,1,"(2375,2385]"
1038,7,6,0,0,0,0,0,0,0,"(17195,17315]"
947,5,5,7022,1009,1,0,0,0,1,"(455,465]"
817,1,3,22310,3307,1,0,0,0,0,"(135,145]"
416,7,4,0,0,0,0,0,0,0,"(4600,4655]"
172,6,7,6559,769,1,0,0,0,1,"(105,115]"
408,7,5,0,0,0,0,0,0,1,"(1550,1575]"
907,2,8,5127,776,1,0,0,1,0,"(245,255]"
398,4,7,4241,540,1,0,0,0,1,"(1535,1550]"
665,2,5,9742,1449,1,1,0,0,1,"(85,95]"
645,6,12,8953,1269,1,0,0,0,1,"(85,95]"
382,2,4,6269,598,1,0,0,0,0,"(25395,26470]"
145,5,5,7842,1077,1,0,0,1,1,"(275,285]"
786,5,1,3679,551,1,1,0,0,1,"(285,295]"
927,4,6,0,0,0,1,1,0,0,"(475,485]"
584,7,2,0,0,0,0,0,0,1,"(1355,1365]"
439,1,11,10647,1139,1,1,0,0,0,"(1345,1355]"
963,6,8,4037,390,1,0,0,0,0,"(23375,24265]"
644,4,11,7108,826,1,0,0,0,1,"(4000,4035]"
772,3,7,4805,556,1,1,0,0,0,"(1845,1855]"
1087,3,7,5104,517,1,0,0,0,0,"(2195,2235]"
340,4,1,5480,608,1,1,0,0,0,"(8065,8085]"
82,4,3,8916,861,1,1,0,0,1,"(22370,22415]"
1014,4,2,11852,1320,1,0,0,0,1,"(205,215]"
180,4,4,7675,871,1,1,0,0,0,"(5770,5815]"
1036,5,2,4853,484,1,1,0,0,1,"(9495,9570]"
90,2,2,8649,1007,1,1,0,0,0,"(325,335]"
771,1,7,8647,866,1,1,0,0,0,"(20630,20785]"
136,1,2,3495,303,1,0,0,1,1,"(2195,2235]"
701,3,9,3228,446,1,0,0,0,1,"(1440,1455]"
448,2,2,11226,919,1,1,0,0,0,"(3945,4000]"
179,5,8,8923,1111,1,1,0,1,0,"(475,485]"
730,5,8,7733,997,1,1,0,1,0,"(1185,1195]"
684,4,10,5100,442,1,0,0,0,1,"(675,685]"
994,7,3,0,0,0,0,0,0,1,"(2285,2295]"
793,2,10,3074,337,1,0,0,1,0,"(2705,2715]"
558,4,2,3883,523,1,1,0,0,0,"(2965,3025]"
397,6,3,4303,625,1,0,0,0,1,"(125,135]"
168,5,3,7306,737,1,1,0,0,0,"(12510,12655]"
412,7,6,0,0,0,0,0,0,1,"(4455,4475]"
860,4,4,4290,582,1,0,0,0,0,"(5965,6085]"
209,6,1,3964,423,1,0,0,0,1,"(11435,11745]"
628,5,2,4759,683,1,0,0,0,0,"(2175,2185]"
191,2,2,7244,731,1,1,0,0,1,"(1095,1105]"
816,1,3,4228,688,1,0,0,0,0,"(455,465]"
505,1,9,6924,689,1,1,0,1,1,"(345,355]"
282,7,4,0,0,0,0,0,0,0,"(1215,1235]"
240,6,3,3696,337,1,0,0,0,0,"(1105,1115]"
330,6,4,4440,450,1,0,0,0,1,"(365,375]"
446,2,5,6521,763,1,1,0,0,1,"(335,345]"
768,6,5,11349,1268,1,0,0,0,0,"(2615,2635]"
340,3,3,5232,631,1,0,0,0,0,"(8065,8085]"
76,2,5,7452,821,1,0,0,0,0,"(19835,20005]"
343,7,4,0,0,0,0,0,0,1,"(18645,18655]"
986,6,11,0,0,0,0,1,0,1,"(615,625]"
666,7,3,0,0,0,0,0,0,1,"(2670,2705]"
741,2,9,9347,1035,1,1,0,1,0,"(11825,12455]"
353,3,1,3225,1025,1,0,0,0,1,"(885,905]"
403,7,2,0,0,0,0,0,0,0,"(4925,4985]"
396,6,5,5720,617,1,0,0,0,0,"(22525,23375]"
485,4,2,3247,331,1,0,0,0,1,"(3260,3280]"
3,4,10,7177,788,1,1,0,0,1,"(14085,14230]"
1088,5,9,6003,551,1,1,0,0,1,"(4285,4315]"
47,4,2,5656,894,1,0,0,0,1,"(265,275]"
471,7,6,0,0,0,0,0,0,1,"(5295,5335]"
964,4,1,9859,1300,1,1,0,0,1,"(265,275]"
257,5,10,5990,724,1,0,0,1,0,"(415,425]"
721,5,6,9305,880,1,1,0,0,1,"(3575,3605]"
166,5,9,3936,614,1,0,0,0,1,"(95,105]"
552,5,1,5769,581,1,0,0,0,1,"(4245,4265]"
540,1,7,5870,411,1,0,0,0,1,"(805,825]"
571,3,4,6547,492,1,1,0,0,1,"(2105,2125]"
410,6,5,6442,846,1,0,0,0,1,"(35,45]"
613,7,2,0,0,0,0,0,0,1,"(245,255]"
223,5,8,5859,759,1,0,0,1,1,"(2905,2925]"
565,6,1,5095,700,1,0,0,0,0,"(155,165]"
868,4,1,8970,575,1,1,0,1,1,"(1355,1365]"
224,5,8,5571,431,1,0,0,1,1,"(7920,7955]"
537,1,7,4916,606,1,0,0,0,1,"(595,605]"
502,4,12,17630,2160,1,1,0,0,1,"(215,225]"
337,3,6,3398,280,1,0,0,0,1,"(10585,10610]"
456,2,11,5261,802,1,0,0,0,0,"(135,145]"
169,7,6,0,0,0,0,0,0,1,"(975,985]"
987,5,1,7121,949,1,0,0,1,0,"(1685,1695]"
411,7,12,0,0,0,0,0,1,0,"(8430,8470]"
594,4,1,3751,416,1,1,0,0,0,"(1785,1815]"
748,1,9,4314,397,1,0,0,0,1,"(2375,2385]"
828,3,5,4874,547,1,1,0,1,0,"(3280,3295]"
176,3,1,5655,612,1,1,0,0,0,"(3765,3775]"
501,4,3,4638,550,1,0,0,0,0,"(1615,1625]"
822,1,2,11146,850,1,1,0,0,1,"(405,415]"
169,2,3,8644,783,1,1,0,0,1,"(975,985]"
57,2,2,10899,969,1,1,0,0,0,"(415,425]"
121,3,3,5434,535,1,1,0,0,1,"(3565,3575]"
664,6,9,3428,443,1,0,0,0,0,"(1660,1685]"
398,1,8,6468,765,1,0,0,0,1,"(1535,1550]"
65,7,8,0,0,0,0,0,0,1,"(13795,14015]"
130,4,12,0,0,0,0,3,1,1,"(885,905]"
649,7,12,0,0,0,0,0,0,0,"(14435,14585]"
150,6,6,7753,762,1,0,0,0,0,"(31095,32035]"
190,1,7,10210,776,1,1,0,0,1,"(1465,1475]"
755,1,1,12634,969,1,1,0,0,0,"(13110,13135]"
321,3,2,3568,416,1,0,0,1,1,"(8125,8165]"
315,5,7,5959,553,1,1,0,1,0,"(37520,40700]"
736,5,1,5121,494,1,0,0,0,1,"(1645,1660]"
683,4,4,9330,902,1,0,0,1,0,"(2845,2860]"
685,1,3,10839,871,1,1,0,0,1,"(645,655]"
1039,3,10,7457,920,1,0,0,0,1,"(65,75]"
469,3,3,13034,1630,1,1,0,0,0,"(705,715]"
1052,5,11,7587,791,1,1,0,0,1,"(5075,5145]"
378,6,3,7211,1063,1,0,0,0,0,"(2125,2155]"
